facialLandmark,x,y
1,1699.23,1232.54
2,1711.48,1428.45
3,1746.24,1607.14
4,1794.74,1794.57
5,1873.81,1932.26
6,1972.89,2008.11
7,2097.73,2070.93
8,2248.91,2104.11
9,2405.52,2079.48
10,2524.65,2011.41
11,2628.89,1918.92
12,2700.20,1805.86
13,2761.96,1626.65
14,2795.61,1455.08
15,2808.97,1272.15
16,2725.68,1182.37
17,2612.16,1100.39
18,2481.60,1109.61
19,2361.56,1177.63
20,2488.09,1165.04
21,2606.88,1153.97
22,1791.49,1138.27
23,1892.28,1078.79
24,2000.43,1093.54
25,2113.69,1160.58
26,1993.23,1143.04
27,1893.58,1127.85
28,1897.63,1247.74
29,1999.03,1201.77
30,2104.22,1266.29
31,1995.54,1297.45
32,2001.00,1241.36
33,2607.09,1274.24
34,2504.75,1224.37
35,2398.07,1278.98
36,2504.50,1303.88
37,2501.55,1262.45
38,2185.90,1267.46
39,2163.26,1471.89
40,2106.70,1571.82
41,2145.20,1627.61
42,2243.67,1665.92
43,2342.77,1637.08
44,2383.81,1586.35
45,2315.17,1468.92
46,2300.90,1267.46
47,2168.33,1611.38
48,2316.83,1617.05
49,2059.69,1792.24
50,2132.14,1766.44
51,2198.17,1755.66
52,2246.42,1760.82
53,2291.86,1755.25
54,2368.58,1772.12
55,2446.64,1798.46
56,2395.12,1847.96
57,2334.30,1876.10
58,2253.58,1887.11
59,2174.11,1872.60
60,2114.59,1841.70
61,2164.28,1805.59
62,2248.84,1821.86
63,2336.66,1815.14
64,2335.70,1794.78
65,2247.52,1791.67
66,2164.91,1789.79
67,2249.93,1805.68
68,2238.16,1571.52
69,1948.47,1224.95
70,2050.89,1233.94
71,2049.72,1282.06
72,1946.10,1273.46
73,2555.55,1249.56
74,2451.52,1251.08
75,2451.34,1292.08
76,2555.89,1288.60
