facialLandmark,x,y
1,1631.18,1256.97
2,1638.78,1442.58
3,1669.02,1599.36
4,1709.38,1766.43
5,1775.77,1927.73
6,1871.22,2048.82
7,2016.21,2131.46
8,2192.49,2154.82
9,2367.14,2128.53
10,2521.87,2052.75
11,2621.49,1923.68
12,2682.21,1741.25
13,2711.13,1559.12
14,2724.43,1390.65
15,2716.53,1195.93
16,2537.28,1105.01
17,2434.58,1046.23
18,2331.46,1053.07
19,2243.10,1115.97
20,2339.96,1115.02
21,2433.48,1108.24
22,1755.10,1164.18
23,1842.14,1087.66
24,1945.22,1081.97
25,2038.09,1138.92
26,1943.81,1145.36
27,1849.03,1151.16
28,1803.37,1248.27
29,1893.01,1182.73
30,2000.53,1235.75
31,1900.94,1275.81
32,1899.31,1225.99
33,2499.53,1203.23
34,2394.95,1150.03
35,2295.15,1215.60
36,2399.18,1244.41
37,2397.15,1194.13
38,2085.66,1231.80
39,2065.75,1417.63
40,2008.45,1521.35
41,2046.48,1571.12
42,2158.16,1601.68
43,2268.02,1560.73
44,2307.42,1509.68
45,2236.09,1410.06
46,2200.30,1226.19
47,2073.26,1550.09
48,2236.07,1542.96
49,1991.48,1768.70
50,2055.16,1723.80
51,2121.24,1704.01
52,2165.04,1709.36
53,2210.69,1700.22
54,2283.95,1713.12
55,2361.38,1754.66
56,2317.70,1805.41
57,2253.47,1833.56
58,2175.91,1843.67
59,2100.42,1838.61
60,2038.52,1813.90
61,2089.94,1768.74
62,2171.30,1776.04
63,2251.78,1764.89
64,2251.04,1741.29
65,2167.86,1748.13
66,2088.91,1748.15
67,2170.53,1759.83
68,2150.42,1502.66
69,1847.12,1215.28
70,1946.21,1209.39
71,1950.76,1255.46
72,1851.74,1262.06
73,2448.10,1176.39
74,2345.58,1182.22
75,2347.17,1230.70
76,2448.06,1224.92
