facialLandmark,x,y
1,397.91,425.48
2,399.32,507.68
3,409.74,583.33
4,429.93,662.15
5,472.27,724.18
6,518.90,771.22
7,571.68,809.25
8,639.90,819.39
9,699.61,802.99
10,744.90,760.58
11,783.23,714.78
12,819.62,653.73
13,834.86,568.79
14,841.41,491.22
15,836.88,407.46
16,800.68,358.04
17,763.62,326.93
18,720.36,331.57
19,676.29,361.92
20,723.66,358.23
21,762.77,352.63
22,436.09,376.33
23,473.01,341.59
24,521.91,341.57
25,571.85,367.07
26,521.26,367.20
27,476.92,367.17
28,482.37,424.13
29,519.39,401.41
30,560.29,419.83
31,521.63,436.50
32,523.21,416.33
33,764.29,411.03
34,728.87,392.23
35,689.95,413.66
36,729.45,429.37
37,730.47,406.14
38,601.01,416.63
39,597.66,506.16
40,574.70,558.63
41,596.98,578.69
42,633.59,584.70
43,669.59,572.49
44,685.31,545.30
45,662.04,501.95
46,649.97,414.58
47,602.31,566.87
48,663.94,563.57
49,562.84,663.05
50,589.29,642.18
51,617.29,632.22
52,635.28,633.17
53,652.94,630.62
54,678.44,635.20
55,703.65,653.31
56,687.50,676.51
57,665.71,689.87
58,637.87,695.60
59,609.19,694.06
60,582.55,684.24
61,599.12,665.68
62,636.74,670.85
63,669.46,660.79
64,668.90,647.99
65,635.86,650.43
66,598.73,652.57
67,636.43,659.32
68,634.43,550.56
69,500.67,412.56
70,539.64,410.97
71,541.38,428.35
72,502.31,430.26
73,747.04,401.16
74,709.78,402.85
75,709.45,422.21
76,746.75,420.40
