facialLandmark,x,y
1,1043.07,1204.76
2,1052.86,1426.78
3,1076.25,1624.85
4,1125.74,1859.19
5,1212.55,2029.86
6,1345.32,2139.16
7,1505.22,2233.79
8,1685.72,2260.14
9,1847.43,2218.56
10,1940.34,2104.67
11,2023.51,1993.88
12,2086.92,1856.16
13,2132.72,1630.24
14,2170.18,1429.96
15,2173.92,1207.87
16,2153.98,1110.31
17,2075.67,1015.13
18,1965.98,1003.24
19,1844.39,1055.63
20,1963.30,1077.43
21,2062.68,1091.12
22,1213.55,1111.13
23,1321.00,1015.65
24,1450.37,1000.36
25,1584.15,1052.51
26,1453.10,1075.96
27,1334.68,1091.48
28,1300.46,1209.26
29,1403.51,1149.43
30,1518.43,1204.24
31,1409.55,1244.44
32,1399.96,1188.98
33,2072.06,1210.54
34,1977.01,1152.42
35,1868.93,1207.05
36,1977.33,1240.61
37,1973.35,1194.14
38,1638.84,1196.09
39,1631.55,1406.46
40,1542.28,1538.34
41,1598.44,1622.69
42,1726.84,1639.83
43,1828.00,1630.22
44,1878.01,1568.21
45,1799.07,1396.43
46,1776.62,1195.59
47,1639.65,1582.03
48,1813.03,1585.97
49,1508.50,1865.90
50,1590.89,1809.60
51,1666.89,1782.62
52,1719.67,1793.41
53,1767.91,1783.91
54,1824.90,1819.77
55,1869.42,1880.44
56,1834.11,1931.23
57,1784.57,1961.51
58,1712.93,1971.84
59,1621.99,1954.80
60,1559.14,1917.77
61,1624.75,1854.53
62,1712.80,1870.74
63,1793.26,1862.65
64,1794.05,1866.88
65,1715.69,1858.11
66,1626.74,1858.78
67,1714.52,1865.22
68,1738.70,1522.95
69,1351.88,1179.86
70,1460.26,1177.06
71,1464.45,1224.87
72,1355.09,1227.14
73,2025.11,1181.59
74,1924.20,1178.96
75,1923.37,1224.05
76,2023.99,1225.41
