facialLandmark,x,y
1,982.63,747.72
2,993.64,857.76
3,1016.97,957.64
4,1048.22,1062.15
5,1095.64,1138.01
6,1153.01,1178.63
7,1224.62,1211.37
8,1310.44,1226.87
9,1398.10,1209.71
10,1463.74,1168.88
11,1520.48,1114.62
12,1558.25,1049.46
13,1589.26,947.26
14,1604.60,849.96
15,1608.27,746.68
16,1559.49,697.89
17,1493.85,654.12
18,1420.53,662.05
19,1354.38,702.87
20,1425.35,693.12
21,1492.00,684.39
22,1032.59,692.70
23,1088.09,657.09
24,1149.29,663.12
25,1214.46,698.49
26,1146.27,691.15
27,1089.85,684.69
28,1094.65,752.10
29,1150.77,724.09
30,1211.36,758.20
31,1150.82,778.03
32,1152.72,746.34
33,1494.65,752.10
34,1435.98,726.18
35,1377.07,759.17
36,1437.51,770.95
37,1434.98,747.69
38,1257.37,757.14
39,1248.92,872.72
40,1219.18,930.17
41,1242.03,960.77
42,1298.27,980.27
43,1353.46,961.95
44,1375.50,932.53
45,1334.39,867.85
46,1322.12,754.73
47,1254.71,951.15
48,1338.44,951.22
49,1197.35,1055.26
50,1237.59,1039.21
51,1274.54,1031.75
52,1301.82,1033.65
53,1327.28,1029.55
54,1370.83,1037.44
55,1415.34,1050.63
56,1387.37,1079.58
57,1353.72,1096.70
58,1308.51,1104.60
59,1263.46,1098.10
60,1229.30,1081.95
61,1256.51,1060.58
62,1304.46,1067.96
63,1353.77,1062.33
64,1352.80,1050.89
65,1303.09,1050.99
66,1256.54,1051.67
67,1304.74,1058.83
68,1293.19,927.24
69,1122.80,738.20
70,1180.65,741.11
71,1181.00,768.23
72,1122.48,765.57
73,1465.11,739.29
74,1406.57,742.34
75,1407.33,765.42
76,1466.13,761.27
