facialLandmark,x,y
1,598.52,628.57
2,595.11,745.04
3,604.88,852.83
4,628.28,965.75
5,684.15,1056.35
6,747.07,1126.02
7,819.29,1183.33
8,915.21,1202.18
9,1000.83,1182.89
10,1067.74,1125.82
11,1125.02,1063.50
12,1180.55,979.46
13,1207.72,860.21
14,1222.10,750.82
15,1221.19,631.93
16,1173.19,559.58
17,1122.77,513.10
18,1061.22,516.82
19,996.83,556.89
20,1064.14,554.78
21,1119.88,549.43
22,655.81,561.49
23,710.36,514.74
24,779.60,517.92
25,848.62,557.31
26,776.99,554.17
27,714.22,551.21
28,718.19,632.21
29,772.09,602.48
30,828.79,631.25
31,772.96,652.31
32,776.52,623.85
33,1118.19,632.21
34,1069.28,603.26
35,1012.76,631.04
36,1067.65,655.88
37,1070.63,623.06
38,886.65,629.40
39,876.02,755.93
40,840.06,828.71
41,870.28,858.57
42,921.72,869.49
43,973.49,854.57
44,997.53,817.11
45,967.44,754.21
46,956.10,629.72
47,878.60,842.19
48,966.08,841.57
49,816.40,975.76
50,855.22,947.96
51,895.51,935.70
52,920.92,938.23
53,946.09,935.78
54,981.89,943.94
55,1016.39,971.24
56,992.00,1003.02
57,960.27,1020.50
58,920.48,1026.78
59,879.98,1022.72
60,842.91,1007.06
61,867.59,981.87
62,920.51,991.67
63,967.50,979.58
64,967.55,961.42
65,920.61,962.70
66,867.90,963.29
67,920.83,975.32
68,925.15,821.21
69,744.86,617.03
70,800.13,617.35
71,801.45,642.07
72,746.01,642.20
73,1094.41,617.10
74,1041.55,617.04
75,1039.81,644.43
76,1092.74,644.32
