facialLandmark,x,y
1,788.70,647.61
2,788.85,749.35
3,799.69,842.00
4,821.09,944.34
5,871.46,1040.95
6,934.54,1115.47
7,1020.57,1166.35
8,1125.03,1187.06
9,1215.53,1173.47
10,1292.08,1132.89
11,1350.98,1068.80
12,1396.52,985.76
13,1427.59,868.47
14,1439.66,762.10
15,1443.11,649.82
16,1353.50,582.27
17,1296.12,544.80
18,1232.90,553.15
19,1179.71,594.51
20,1239.98,585.88
21,1294.53,575.75
22,860.03,585.10
23,910.44,543.92
24,977.77,552.70
25,1039.54,595.37
26,972.83,584.13
27,912.46,575.56
28,907.73,652.84
29,958.44,624.94
30,1017.49,653.04
31,962.08,672.07
32,964.06,645.15
33,1307.73,652.84
34,1253.81,628.72
35,1202.06,654.68
36,1255.26,677.68
37,1255.83,647.87
38,1078.79,647.13
39,1068.17,761.29
40,1028.20,816.88
41,1052.67,853.23
42,1119.93,872.55
43,1180.38,853.07
44,1203.29,827.62
45,1159.28,757.47
46,1147.74,646.63
47,1068.44,842.50
48,1164.97,841.44
49,1011.90,966.55
50,1057.05,947.14
51,1096.65,940.45
52,1122.33,942.47
53,1145.50,940.45
54,1185.02,945.31
55,1231.27,961.89
56,1198.90,981.96
57,1164.46,991.15
58,1125.74,994.57
59,1086.62,993.98
60,1046.92,988.33
61,1072.69,969.16
62,1122.72,978.22
63,1168.81,970.17
64,1169.12,957.19
65,1122.18,960.83
66,1072.40,959.32
67,1122.91,967.69
68,1119.15,820.59
69,932.70,638.98
70,987.83,639.49
71,989.92,662.18
72,934.99,662.20
73,1281.18,640.59
74,1228.54,641.66
75,1228.85,666.71
76,1281.15,665.40
