facialLandmark,x,y
1,840.14,691.26
2,840.00,802.53
3,857.13,905.59
4,888.89,999.48
5,926.99,1080.02
6,979.83,1143.25
7,1060.92,1180.16
8,1150.91,1194.92
9,1243.13,1184.60
10,1316.56,1152.32
11,1375.59,1100.42
12,1416.06,1017.96
13,1440.46,915.18
14,1456.28,813.12
15,1453.14,698.31
16,1392.36,635.89
17,1334.73,607.79
18,1274.90,618.13
19,1220.65,656.81
20,1280.77,646.97
21,1335.98,636.71
22,917.45,636.24
23,974.16,613.17
24,1030.57,623.03
25,1088.46,659.39
26,1026.43,650.69
27,971.61,640.19
28,954.45,697.31
29,1007.96,666.07
30,1065.30,701.74
31,1008.11,720.68
32,1011.22,690.21
33,1354.45,697.31
34,1299.20,666.16
35,1243.80,701.15
36,1300.85,723.64
37,1300.90,691.58
38,1121.54,705.14
39,1106.88,822.09
40,1076.43,872.76
41,1095.06,904.46
42,1153.12,927.83
43,1208.29,907.42
44,1230.45,886.96
45,1198.09,819.49
46,1184.47,704.79
47,1109.17,897.88
48,1196.41,900.03
49,1037.15,1010.66
50,1081.19,995.29
51,1122.58,990.40
52,1151.39,992.41
53,1178.24,990.25
54,1223.21,997.15
55,1268.94,1010.93
56,1230.26,1030.68
57,1192.44,1039.02
58,1150.05,1042.48
59,1106.25,1039.87
60,1070.00,1031.76
61,1098.19,1015.94
62,1150.51,1022.24
63,1204.21,1016.47
64,1204.35,1002.78
65,1150.43,1003.68
66,1097.53,1002.30
67,1150.86,1012.11
68,1153.46,879.07
69,980.69,681.37
70,1035.87,684.27
71,1036.62,711.28
72,981.03,709.29
73,1327.38,681.22
74,1272.17,683.50
75,1272.50,712.85
76,1327.78,710.34
