facialLandmark,x,y
1,56.32,142.12
2,55.51,166.33
3,59.07,186.70
4,64.65,207.01
5,72.19,225.99
6,83.50,239.56
7,98.80,250.85
8,119.15,256.27
9,137.28,252.62
10,151.01,242.42
11,163.91,232.02
12,173.95,214.88
13,181.05,192.26
14,185.21,169.37
15,185.51,143.53
16,174.30,130.17
17,160.63,125.18
18,146.22,126.37
19,132.09,132.21
20,147.02,132.08
21,160.69,130.76
22,64.39,131.39
23,77.14,125.61
24,90.59,126.69
25,105.68,133.05
26,90.40,132.53
27,77.08,131.43
28,74.31,143.12
29,86.21,136.27
30,99.83,143.96
31,86.40,148.20
32,86.20,141.66
33,164.67,143.08
34,151.92,136.56
35,138.63,143.76
36,152.14,149.32
37,151.89,141.86
38,112.63,144.38
39,109.81,168.12
40,101.37,179.75
41,106.34,188.35
42,119.41,191.53
43,131.00,189.10
44,137.45,182.22
45,129.22,168.46
46,126.69,144.57
47,109.65,185.68
48,128.74,185.95
49,95.68,210.10
50,104.16,205.12
51,113.20,202.95
52,119.41,203.46
53,125.82,203.28
54,134.82,205.99
55,142.63,211.11
56,136.19,217.08
57,129.21,220.16
58,118.99,221.43
59,108.54,219.50
60,101.65,215.88
61,107.76,211.54
62,119.19,213.90
63,131.22,212.32
64,131.37,209.38
65,119.25,209.09
66,107.93,209.01
67,119.19,211.57
68,119.02,180.56
69,80.25,139.67
70,92.94,140.11
71,93.24,146.06
72,80.39,145.74
73,158.48,139.85
74,145.39,140.17
75,145.41,146.61
76,158.40,146.24
