facialLandmark,x,y
1,181.24,413.75
2,189.06,470.20
3,204.61,520.57
4,225.40,567.36
5,251.71,614.23
6,283.01,651.84
7,331.74,670.72
8,387.97,675.30
9,438.32,661.16
10,479.92,632.44
11,512.45,593.67
12,535.86,542.41
13,546.00,476.79
14,547.41,418.32
15,540.45,354.07
16,484.05,328.45
17,442.24,312.50
18,399.21,326.56
19,371.56,356.97
20,406.92,344.26
21,444.12,331.27
22,205.99,377.16
23,234.51,352.42
24,268.65,352.92
25,306.92,372.26
26,268.78,370.86
27,236.60,369.79
28,238.19,408.24
29,263.52,386.52
30,297.41,400.62
31,268.38,415.33
32,268.27,398.86
33,456.94,367.06
34,424.02,356.56
35,396.83,380.22
36,429.15,385.36
37,426.04,369.35
38,325.55,392.19
39,324.64,450.16
40,310.94,484.30
41,324.64,505.02
42,360.52,508.34
43,391.99,492.62
44,405.34,477.84
45,374.36,439.57
46,360.95,385.81
47,332.72,495.81
48,380.48,486.41
49,313.50,573.74
50,329.78,554.53
51,350.18,544.44
52,366.69,542.80
53,381.94,538.27
54,408.62,538.27
55,435.40,546.97
56,420.90,568.54
57,401.29,583.85
58,375.75,593.00
59,349.53,595.24
60,328.32,589.30
61,343.63,570.13
62,372.05,569.26
63,402.17,558.50
64,399.99,546.78
65,368.86,553.11
66,341.67,559.33
67,370.58,559.41
68,351.53,475.37
69,250.61,397.45
70,280.47,393.88
71,282.81,408.08
72,253.33,412.03
73,440.75,361.65
74,410.51,368.14
75,413.10,382.68
76,443.06,376.17
