facialLandmark,x,y
1,400.18,340.59
2,405.60,396.11
3,414.83,442.90
4,428.13,494.44
5,450.78,534.11
6,476.85,563.19
7,512.89,585.32
8,558.08,590.26
9,602.65,579.48
10,635.63,551.86
11,665.43,520.94
12,687.88,477.73
13,692.43,427.03
14,696.07,379.19
15,693.44,324.49
16,663.56,312.82
17,636.70,292.13
18,604.64,293.57
19,573.74,311.90
20,606.16,310.77
21,635.43,309.94
22,425.52,323.26
23,449.63,302.73
24,480.34,300.70
25,512.50,314.89
26,480.73,317.48
27,452.71,320.04
28,454.82,337.50
29,476.07,324.74
30,501.06,336.04
31,477.26,343.56
32,478.79,332.75
33,637.52,327.90
34,614.84,317.66
35,590.87,331.09
36,615.32,335.95
37,617.35,325.55
38,528.43,336.05
39,526.14,393.78
40,509.69,428.36
41,521.64,438.35
42,550.41,445.51
43,579.29,434.46
44,588.73,422.04
45,568.69,390.57
46,559.58,334.04
47,527.64,433.23
48,571.97,431.36
49,497.69,489.23
50,519.07,478.62
51,539.14,473.35
52,552.27,474.90
53,565.22,471.54
54,584.39,474.44
55,605.12,483.70
56,591.64,499.77
57,574.66,508.13
58,553.95,511.12
59,531.93,510.02
60,513.19,503.10
61,527.27,491.52
62,553.24,493.93
63,577.26,488.41
64,576.76,482.99
65,552.80,484.81
66,526.98,485.99
67,552.79,488.48
68,549.05,422.30
69,465.32,330.97
70,488.49,330.70
71,489.37,340.22
72,466.07,340.63
73,626.30,322.84
74,602.76,324.29
75,603.07,333.73
76,626.37,332.22
