facialLandmark,x,y
1,466.20,1233.45
2,473.50,1407.20
3,501.41,1560.80
4,527.41,1713.79
5,596.50,1904.04
6,709.81,2019.98
7,846.50,2118.02
8,1018.66,2161.24
9,1190.30,2134.48
10,1335.38,2054.83
11,1464.96,1955.23
12,1547.36,1768.34
13,1578.95,1584.52
14,1588.63,1411.75
15,1573.96,1228.70
16,1437.68,1144.75
17,1322.52,1074.58
18,1199.92,1074.44
19,1081.50,1139.45
20,1202.96,1137.56
21,1317.92,1133.97
22,545.79,1167.59
23,640.00,1093.23
24,764.93,1088.18
25,881.16,1152.18
26,762.29,1149.77
27,646.56,1150.50
28,662.18,1233.54
29,748.11,1172.69
30,845.65,1226.64
31,750.97,1257.74
32,758.64,1211.84
33,1331.47,1217.77
34,1238.24,1162.99
35,1141.78,1219.32
36,1237.39,1240.37
37,1243.16,1201.37
38,928.42,1210.41
39,909.35,1356.59
40,847.22,1484.45
41,886.36,1532.59
42,991.93,1560.94
43,1106.08,1530.74
44,1142.76,1484.95
45,1054.48,1344.63
46,1034.09,1206.58
47,912.76,1504.54
48,1066.44,1501.38
49,799.94,1740.02
50,871.81,1711.83
51,940.93,1697.34
52,997.22,1701.34
53,1053.02,1693.96
54,1141.87,1707.85
55,1238.63,1727.61
56,1165.23,1777.64
57,1091.14,1799.74
58,1007.32,1807.86
59,923.43,1800.17
60,860.88,1779.43
61,896.79,1745.99
62,1002.05,1759.74
63,1109.68,1747.00
64,1110.75,1714.94
65,998.34,1723.75
66,895.73,1720.87
67,1001.52,1743.15
68,981.40,1451.94
69,705.63,1202.19
70,796.11,1200.35
71,798.18,1243.34
72,707.70,1246.52
73,1285.68,1190.17
74,1190.87,1191.33
75,1190.76,1231.03
76,1284.29,1230.86
