facialLandmark,x,y
1,279.53,726.72
2,295.88,819.52
3,326.15,902.27
4,367.03,981.97
5,405.79,1032.04
6,448.09,1087.88
7,498.45,1139.35
8,573.89,1158.56
9,652.05,1135.08
10,714.97,1082.99
11,763.94,1028.62
12,802.73,957.76
13,824.54,860.68
14,827.17,762.98
15,819.26,657.30
16,742.28,616.38
17,680.42,598.77
18,621.81,612.15
19,566.32,648.33
20,628.03,636.17
21,683.20,621.98
22,291.63,669.79
23,337.85,644.20
24,387.63,647.56
25,445.33,670.75
26,387.56,670.90
27,338.20,668.75
28,344.34,723.13
29,385.32,695.34
30,441.41,716.98
31,390.46,738.82
32,388.36,713.88
33,692.92,675.99
34,639.12,661.44
35,591.86,696.51
36,645.72,706.93
37,640.28,679.98
38,485.44,715.15
39,484.97,815.94
40,457.48,862.88
41,480.75,892.73
42,533.44,908.28
43,588.64,880.37
44,610.11,848.61
45,563.47,807.46
46,542.91,708.50
47,487.28,892.22
48,572.40,882.53
49,439.47,960.34
50,474.25,932.46
51,514.47,922.65
52,536.59,922.93
53,560.09,917.76
54,614.14,915.66
55,671.92,930.78
56,652.05,990.88
57,608.65,1028.79
58,555.05,1044.70
59,506.40,1040.72
60,464.33,1012.49
61,497.26,1004.52
62,549.83,1010.14
63,606.23,992.68
64,597.70,934.33
65,540.64,946.57
66,492.05,948.48
67,545.51,976.45
68,522.69,873.70
69,364.60,708.79
70,413.06,706.52
71,415.63,728.25
72,367.40,731.20
73,666.55,668.61
74,615.29,678.65
75,618.65,702.06
76,669.36,691.49
