facialLandmark,x,y
1,96.84,210.17
2,104.14,241.51
3,114.73,270.25
4,127.53,300.36
5,144.15,322.45
6,163.59,339.68
7,184.60,357.16
8,213.67,362.56
9,240.81,353.29
10,261.39,333.93
11,280.50,314.14
12,294.73,286.53
13,299.97,246.45
14,298.44,211.78
15,294.23,178.06
16,261.36,160.74
17,239.68,154.33
18,219.13,160.57
19,200.36,175.38
20,221.97,171.12
21,240.99,165.43
22,106.82,191.03
23,121.92,178.13
24,141.03,177.81
25,162.18,185.92
26,142.02,188.43
27,123.59,189.55
28,127.83,209.10
29,141.82,199.83
30,160.04,203.49
31,144.31,212.63
32,143.45,205.21
33,246.14,186.38
34,228.40,183.67
35,212.54,193.15
36,229.95,194.89
37,229.73,188.54
38,174.36,200.12
39,175.16,236.02
40,169.28,255.40
41,178.39,265.17
42,194.32,268.25
43,212.73,260.10
44,219.33,249.61
45,203.54,231.27
46,193.94,196.83
47,179.52,261.83
48,206.73,257.45
49,174.01,299.84
50,181.41,293.18
51,189.96,289.61
52,197.97,289.26
53,206.32,287.27
54,219.73,288.08
55,234.95,291.80
56,226.25,300.09
57,215.68,304.67
58,202.65,307.87
59,190.61,307.37
60,182.20,304.49
61,186.00,298.41
62,200.51,299.83
63,215.40,295.51
64,215.13,291.70
65,198.91,294.22
66,185.69,295.75
67,200.19,296.53
68,190.30,252.83
69,134.77,204.51
70,150.90,201.72
71,152.25,208.10
72,136.19,210.86
73,237.51,184.94
74,220.62,188.32
75,221.32,194.18
76,237.94,190.74
