facialLandmark,x,y
1,654.76,754.58
2,665.48,838.05
3,681.45,906.94
4,703.75,974.78
5,737.66,1051.12
6,790.92,1102.06
7,868.71,1120.56
8,947.19,1117.09
9,1007.18,1101.14
10,1044.87,1068.24
11,1077.79,1022.26
12,1095.01,956.05
13,1098.46,867.33
14,1101.04,783.84
15,1082.63,691.32
16,1053.42,653.99
17,1020.59,632.27
18,982.33,634.32
19,945.98,659.37
20,985.67,657.72
21,1020.02,656.46
22,714.59,714.21
23,750.53,681.93
24,796.09,667.67
25,849.20,677.38
26,801.00,690.81
27,756.97,703.01
28,749.88,742.78
29,785.00,709.70
30,830.98,727.48
31,793.55,748.40
32,793.50,726.58
33,1034.77,695.05
34,996.99,675.81
35,962.03,705.55
36,1004.01,715.11
37,1005.00,693.29
38,875.58,716.74
39,880.82,805.67
40,857.82,855.45
41,880.69,880.84
42,932.10,883.98
43,975.61,864.32
44,986.77,848.13
45,947.56,787.24
46,923.68,708.16
47,894.63,866.22
48,964.24,855.74
49,849.74,985.47
50,882.94,963.27
51,914.03,950.23
52,937.44,949.47
53,955.84,943.31
54,980.57,947.33
55,1005.96,959.05
56,984.01,972.65
57,964.57,980.32
58,939.67,987.37
59,905.52,991.84
60,875.84,993.32
61,896.52,972.87
62,937.44,969.45
63,967.53,960.29
64,968.25,955.55
65,937.21,960.63
66,895.17,968.04
67,937.18,963.98
68,932.91,839.01
69,767.21,726.23
70,807.62,719.03
71,812.36,738.02
72,771.41,745.23
73,1016.43,685.08
74,980.09,690.21
75,983.09,710.73
76,1019.28,705.43
