facialLandmark,x,y
1,75.22,213.62
2,80.12,247.17
3,86.55,278.93
4,97.50,311.36
5,111.09,340.48
6,130.93,366.09
7,157.11,382.93
8,189.10,387.45
9,218.23,379.37
10,238.16,358.94
11,258.67,338.01
12,274.54,309.40
13,281.22,265.26
14,282.34,228.22
15,280.04,190.51
16,255.56,176.02
17,238.14,163.01
18,215.70,165.73
19,196.12,178.93
20,217.38,177.91
21,236.95,176.22
22,93.67,195.97
23,109.87,180.40
24,131.88,178.23
25,154.53,187.81
26,132.36,190.64
27,112.14,192.81
28,111.06,212.63
29,127.15,201.47
30,146.40,207.56
31,129.34,216.12
32,128.96,207.92
33,239.91,194.42
34,222.40,188.42
35,205.20,198.32
36,223.62,201.67
37,223.71,194.69
38,163.59,203.23
39,162.34,239.60
40,148.33,259.47
41,156.55,273.42
42,181.84,278.83
43,206.24,267.62
44,213.40,258.91
45,192.34,234.25
46,185.96,200.64
47,162.72,271.32
48,199.31,266.94
49,150.54,315.09
50,162.57,308.08
51,174.10,305.48
52,183.59,305.60
53,192.38,303.46
54,205.36,302.91
55,220.39,306.06
56,208.35,313.64
57,196.79,317.92
58,184.44,320.57
59,170.93,321.46
60,159.91,319.95
61,167.62,313.27
62,184.19,314.38
63,200.93,309.00
64,201.11,307.20
65,183.71,310.75
66,167.18,311.63
67,184.22,312.32
68,180.27,263.68
69,119.00,207.06
70,136.64,204.69
71,137.92,211.88
72,120.37,214.34
73,231.39,191.24
74,214.18,193.20
75,214.47,200.34
76,231.68,198.19
