facialLandmark,x,y
1,595.40,891.49
2,592.87,1004.89
3,602.12,1106.49
4,615.94,1213.20
5,658.77,1336.75
6,721.14,1432.15
7,814.35,1498.82
8,931.87,1527.52
9,1039.17,1510.33
10,1125.41,1449.82
11,1202.30,1380.78
12,1265.70,1272.78
13,1293.96,1151.59
14,1307.58,1038.12
15,1313.30,914.98
16,1231.78,842.20
17,1162.91,795.64
18,1083.20,801.80
19,1010.52,848.74
20,1087.47,845.26
21,1159.36,837.95
22,655.07,820.97
23,723.17,782.78
24,798.83,796.12
25,869.39,848.99
26,792.49,837.68
27,722.02,824.85
28,706.13,899.63
29,768.13,870.18
30,835.86,905.18
31,769.46,925.23
32,772.52,894.75
33,1171.80,910.21
34,1108.04,879.26
35,1041.84,909.57
36,1106.74,940.24
37,1107.81,903.30
38,903.51,904.13
39,886.64,1023.48
40,833.51,1093.43
41,856.01,1129.61
42,938.04,1165.26
43,1016.09,1132.51
44,1042.06,1105.40
45,987.22,1022.80
46,976.66,905.24
47,874.83,1132.61
48,996.63,1135.00
49,803.08,1236.36
50,858.36,1221.49
51,908.48,1220.34
52,938.85,1223.85
53,968.47,1221.43
54,1017.96,1222.61
55,1073.84,1237.01
56,1029.90,1264.33
57,985.57,1276.35
58,937.52,1279.43
59,887.75,1276.16
60,842.13,1263.64
61,875.21,1245.14
62,937.84,1256.84
63,998.88,1246.69
64,999.69,1236.36
65,938.03,1243.94
66,875.06,1237.56
67,937.95,1248.17
68,935.28,1120.59
69,736.42,884.89
70,801.50,887.89
71,802.87,915.29
72,738.24,912.77
73,1140.63,894.73
74,1075.64,894.59
75,1074.09,925.90
76,1138.94,926.13
