facialLandmark,x,y
1,56.91,132.02
2,63.03,152.54
3,69.14,171.32
4,78.11,191.65
5,88.83,205.32
6,102.01,215.94
7,117.57,227.10
8,136.78,229.76
9,154.33,223.84
10,164.65,211.84
11,174.05,198.67
12,180.24,183.84
13,182.57,157.10
14,182.27,134.39
15,179.75,112.04
16,168.04,104.56
17,157.06,98.23
18,145.18,99.84
19,133.29,107.34
20,146.03,107.17
21,156.99,106.60
22,69.65,122.89
23,78.70,113.49
24,91.04,110.59
25,105.01,113.80
26,92.38,118.04
27,80.80,121.08
28,81.69,130.52
29,90.74,124.48
30,102.60,126.92
31,92.54,132.51
32,92.08,127.65
33,159.13,115.62
34,148.35,113.61
35,138.21,119.78
36,149.38,119.40
37,149.71,116.78
38,113.14,124.86
39,114.78,150.22
40,108.17,161.61
41,113.94,168.61
42,129.50,171.78
43,141.95,163.87
44,145.54,157.67
45,133.40,144.88
46,126.90,122.19
47,117.47,168.33
48,139.25,164.43
49,109.69,189.49
50,118.55,186.01
51,125.97,184.53
52,131.87,184.64
53,136.71,182.60
54,144.51,181.97
55,152.81,182.33
56,147.20,188.13
57,140.98,191.83
58,133.15,194.21
59,123.71,194.66
60,116.23,193.07
61,122.20,189.13
62,132.45,189.36
63,141.87,186.28
64,141.89,184.90
65,132.09,187.37
66,122.14,188.19
67,132.46,188.31
68,128.16,163.34
69,86.17,127.43
70,96.59,125.74
71,97.58,129.78
72,87.09,131.52
73,153.84,114.60
74,143.35,116.51
75,143.81,119.75
76,154.10,117.62
