facialLandmark,x,y
1,266.47,580.07
2,271.31,664.70
3,286.99,740.92
4,315.79,816.86
5,347.97,852.34
6,380.18,894.71
7,419.00,944.77
8,485.83,967.17
9,552.51,953.23
10,602.82,915.93
11,645.01,876.24
12,683.08,832.12
13,715.54,752.03
14,728.79,668.01
15,735.42,576.12
16,661.23,535.62
17,615.77,510.48
18,568.18,514.20
19,526.19,541.94
20,571.49,538.75
21,614.18,536.30
22,292.60,538.27
23,330.82,510.04
24,378.01,514.42
25,419.13,546.00
26,374.05,539.55
27,331.76,536.26
28,331.57,585.74
29,367.56,568.97
30,407.73,595.09
31,365.88,604.65
32,371.68,585.19
33,624.08,583.19
34,582.81,567.70
35,544.53,592.95
36,586.03,603.75
37,586.89,583.73
38,445.69,597.29
39,433.93,685.75
40,397.24,732.47
41,414.50,751.81
42,472.48,774.76
43,528.23,750.58
44,548.90,731.78
45,507.72,684.52
46,498.82,596.48
47,427.11,756.15
48,512.52,754.86
49,374.70,804.21
50,416.59,797.32
51,454.71,798.38
52,475.78,802.16
53,497.44,797.35
54,537.80,794.81
55,585.09,800.05
56,558.03,838.12
57,521.00,860.10
58,478.88,866.67
59,438.62,861.86
60,401.43,841.60
61,431.46,836.49
62,478.21,844.39
63,525.09,836.04
64,524.05,807.16
65,477.19,814.29
66,431.79,809.62
67,477.54,827.76
68,467.59,744.10
69,349.38,576.97
70,387.52,582.21
71,386.57,599.99
72,348.49,595.30
73,603.65,575.55
74,563.17,580.01
75,565.14,598.67
76,604.83,593.70
