facialLandmark,x,y
1,61.41,175.12
2,64.50,200.00
3,69.48,222.22
4,77.47,245.10
5,87.78,263.66
6,102.34,279.24
7,121.45,288.44
8,144.49,291.49
9,165.11,286.65
10,181.01,275.64
11,191.09,259.67
12,197.74,243.53
13,204.32,216.98
14,206.54,192.40
15,206.69,165.24
16,190.22,155.76
17,176.61,148.96
18,161.54,151.92
19,149.13,161.34
20,163.44,158.99
21,176.74,156.45
22,77.46,165.73
23,88.86,156.10
24,104.42,156.21
25,118.72,164.26
26,103.95,163.85
27,89.97,163.74
28,89.08,174.35
29,99.85,167.57
30,112.92,173.86
31,100.72,177.63
32,99.34,172.11
33,179.50,166.88
34,166.85,162.54
35,155.75,170.51
36,168.04,170.29
37,166.31,166.91
38,126.93,173.05
39,125.44,200.71
40,114.31,213.09
41,119.61,220.19
42,139.70,226.67
43,157.05,218.40
44,162.18,211.83
45,148.41,198.52
46,143.17,171.95
47,125.04,221.12
48,152.50,219.26
49,110.65,241.49
50,122.63,236.65
51,134.16,235.96
52,140.77,236.78
53,147.22,235.21
54,159.61,234.03
55,172.70,236.85
56,166.61,249.15
57,155.43,256.39
58,143.09,258.52
59,130.72,257.94
60,119.06,252.44
61,127.46,249.87
62,142.09,251.92
63,156.56,248.87
64,155.54,237.30
65,141.13,240.10
66,126.90,239.41
67,141.69,245.32
68,138.67,216.71
69,94.50,170.91
70,106.31,170.73
71,106.66,175.82
72,94.83,176.07
73,173.24,164.67
74,161.34,166.38
75,161.93,170.41
76,173.74,168.66
