facialLandmark,x,y
1,90.90,143.85
2,92.26,164.19
3,95.87,182.49
4,102.09,202.47
5,112.03,219.93
6,126.56,230.05
7,144.84,236.08
8,165.21,237.45
9,184.84,233.90
10,201.55,226.35
11,214.23,212.45
12,220.45,195.51
13,225.44,174.90
14,224.92,154.61
15,222.73,133.67
16,205.12,126.33
17,193.05,118.89
18,180.56,120.66
19,168.95,128.60
20,181.86,128.53
21,193.06,126.79
22,103.19,133.41
23,113.13,124.17
24,126.35,124.42
25,139.00,131.34
26,126.31,131.92
27,114.23,132.23
28,113.78,143.19
29,124.19,136.52
30,136.84,142.07
31,125.38,146.89
32,124.86,140.87
33,195.25,136.72
34,183.60,132.54
35,172.75,139.68
36,184.40,140.34
37,183.70,136.78
38,147.94,142.40
39,147.15,163.63
40,140.20,174.46
41,147.53,183.35
42,159.80,185.30
43,172.18,182.29
44,177.82,173.73
45,167.14,161.52
46,162.56,141.13
47,149.03,180.40
48,169.24,179.28
49,138.18,200.23
50,146.50,195.60
51,155.02,194.29
52,160.25,194.77
53,165.51,193.52
54,174.28,194.31
55,183.37,197.71
56,178.25,204.23
57,171.11,208.12
58,162.10,209.61
59,152.86,209.09
60,144.85,205.85
61,150.00,200.08
62,160.90,200.78
63,171.16,199.47
64,170.98,197.68
65,160.57,198.51
66,149.95,198.61
67,160.85,199.61
68,159.02,174.98
69,118.93,139.86
70,130.45,139.32
71,131.08,144.50
72,119.57,145.04
73,189.50,134.61
74,178.20,135.96
75,178.72,140.04
76,189.83,138.57
