facialLandmark,x,y
1,178.02,370.33
2,175.51,427.91
3,178.63,483.02
4,185.63,545.95
5,205.87,589.10
6,238.04,617.83
7,268.06,644.73
8,312.92,656.33
9,363.81,651.61
10,414.57,632.50
11,454.81,600.49
12,482.95,548.96
13,499.40,493.85
14,506.84,441.74
15,514.14,387.72
16,459.64,360.76
17,427.69,331.36
18,389.06,331.76
19,351.87,354.12
20,389.65,356.86
21,424.55,355.79
22,189.71,341.64
23,218.08,314.11
24,256.04,320.43
25,287.52,349.33
26,251.71,344.06
27,218.94,339.70
28,225.49,372.93
29,250.43,361.90
30,276.60,375.30
31,249.31,383.15
32,253.52,371.17
33,421.92,386.49
34,397.17,372.40
35,368.30,381.40
36,394.53,391.90
37,398.22,381.23
38,301.50,377.35
39,292.95,420.63
40,270.07,464.40
41,284.03,481.00
42,309.81,488.35
43,341.61,483.23
44,357.66,463.14
45,337.19,425.50
46,336.08,379.55
47,287.77,469.89
48,332.98,472.05
49,259.82,541.47
50,278.39,536.43
51,296.05,534.30
52,308.73,536.25
53,323.63,535.68
54,342.07,539.30
55,364.99,548.16
56,348.90,561.57
57,330.74,567.74
58,309.81,568.22
59,291.42,564.96
60,274.97,556.50
61,286.37,546.17
62,310.17,551.69
63,334.68,548.67
64,334.61,544.54
65,309.61,544.35
66,285.88,541.75
67,309.86,547.56
68,309.20,456.33
69,237.87,367.42
70,263.58,368.79
71,263.27,379.30
72,237.73,377.93
73,409.61,379.38
74,382.83,377.04
75,381.52,386.91
76,407.83,389.23
