facialLandmark,x,y
1,10.00,127.00
2,12.00,152.00
3,17.50,175.00
4,21.00,186.00
5,27.70,197.30
6,34.70,208.00
7,42.00,218.00
8,57.00,223.00
9,75.00,220.00
10,90.30,210.70
11,103.70,198.30
12,115.00,183.00
13,118.00,174.00
14,123.00,153.70
15,126.00,128.00
16,104.00,121.00
17,91.00,113.00
18,77.00,114.00
19,65.00,121.00
20,78.00,121.00
21,91.00,120.00
22,16.00,116.00
23,26.00,109.00
24,37.00,112.00
25,47.00,120.00
26,36.00,119.00
27,26.00,117.00
28,22.00,127.00
29,31.00,123.00
30,42.00,128.00
31,31.00,131.00
32,31.00,127.00
33,95.00,130.00
34,84.00,125.00
35,74.00,130.00
36,84.00,134.00
37,84.00,128.00
38,47.00,128.70
39,47.00,147.00
40,40.00,158.00
41,44.00,165.00
42,54.00,168.00
43,68.00,166.00
44,73.00,159.00
45,64.00,149.00
46,64.00,129.30
47,45.00,163.00
48,63.00,164.00
49,39.00,183.00
50,44.00,179.00
51,50.00,178.00
52,55.00,179.00
53,60.00,178.00
54,67.00,180.00
55,77.00,185.00
56,71.00,191.00
57,64.00,193.00
58,55.00,194.00
59,48.00,192.00
60,43.00,189.00
61,48.00,185.00
62,55.00,187.00
63,64.00,186.00
64,64.00,184.00
65,55.00,184.00
66,48.00,183.00
67,55.00,185.50
68,53.00,159.00
69,27.00,124.00
70,36.00,124.00
71,37.00,130.00
72,27.00,130.00
73,90.00,126.00
74,79.00,127.00
75,79.00,133.00
76,90.00,133.00
