facialLandmark,x,y
1,51.00,117.00
2,53.00,141.70
3,58.00,162.00
4,61.00,171.00
5,71.00,182.30
6,83.00,192.30
7,97.00,201.00
8,115.00,204.00
9,128.00,200.00
10,135.30,192.00
11,142.70,183.70
12,150.00,175.00
13,153.50,163.50
14,159.00,140.00
15,161.00,116.00
16,158.00,104.00
17,149.00,98.00
18,139.00,101.00
19,129.00,108.00
20,139.00,106.00
21,149.00,104.00
22,67.00,110.00
23,79.00,102.00
24,92.00,103.00
25,105.00,109.00
26,91.00,109.00
27,79.00,108.00
28,79.00,119.00
29,89.00,114.00
30,99.00,120.00
31,89.00,123.00
32,89.00,118.00
33,150.00,116.00
34,141.00,112.00
35,131.00,118.00
36,141.00,121.00
37,141.00,116.00
38,111.00,119.30
39,111.00,140.00
40,102.00,149.00
41,107.00,155.00
42,120.00,159.00
43,130.00,155.00
44,133.00,149.00
45,127.00,138.00
46,127.00,118.70
47,111.00,154.00
48,128.00,154.00
49,95.00,171.00
50,106.00,168.00
51,114.00,167.00
52,119.00,168.00
53,124.00,167.00
54,130.00,168.00
55,135.00,170.00
56,131.00,177.00
57,125.00,181.00
58,118.00,182.00
59,108.00,181.00
60,101.00,177.00
61,108.00,174.00
62,118.00,175.00
63,126.00,173.00
64,126.00,171.00
65,118.00,172.00
66,108.00,172.00
67,118.00,173.50
68,122.00,151.00
69,84.00,116.00
70,94.00,116.00
71,94.00,122.00
72,84.00,122.00
73,145.00,113.00
74,136.00,114.00
75,136.00,120.00
76,145.00,119.00
