facialLandmark,x,y
1,517.76,832.87
2,528.56,967.43
3,566.15,1089.14
4,607.25,1207.67
5,660.37,1311.05
6,719.68,1401.93
7,791.36,1485.12
8,909.83,1519.72
9,1029.07,1496.46
10,1131.97,1428.01
11,1218.26,1352.19
12,1287.30,1217.63
13,1318.31,1068.69
14,1332.09,934.02
15,1335.99,783.54
16,1197.48,719.93
17,1098.46,666.88
18,996.16,687.46
19,919.40,754.09
20,1008.56,737.64
21,1097.85,719.20
22,536.90,767.04
23,603.13,703.24
24,687.30,714.18
25,770.19,776.82
26,682.27,765.50
27,606.00,757.19
28,607.95,834.80
29,668.44,795.56
30,743.19,830.53
31,671.46,855.34
32,673.42,822.60
33,1124.09,794.26
34,1048.04,766.87
35,981.73,808.25
36,1050.66,822.23
37,1047.36,792.52
38,808.92,817.29
39,794.01,938.69
40,752.10,1027.64
41,774.79,1077.91
42,856.26,1101.82
43,938.71,1069.11
44,971.65,1027.75
45,907.68,936.85
46,893.71,813.08
47,791.53,1063.94
48,907.73,1055.44
49,745.82,1220.80
50,789.06,1210.10
51,829.86,1199.40
52,866.74,1202.25
53,905.03,1195.16
54,969.26,1197.06
55,1047.98,1196.78
56,992.74,1228.59
57,937.09,1244.29
58,877.78,1252.93
59,826.90,1250.98
60,788.54,1241.46
61,813.97,1215.80
62,873.81,1222.76
63,946.30,1210.40
64,946.20,1208.87
65,870.52,1219.98
66,813.32,1220.17
67,873.53,1220.58
68,836.42,1022.59
69,638.04,815.00
70,705.65,813.55
71,707.28,843.11
72,640.45,845.89
73,1086.67,780.64
74,1015.80,787.68
75,1017.17,815.66
76,1086.98,808.89
