facialLandmark,x,y
1,676.72,1109.81
2,637.53,1296.56
3,642.75,1465.72
4,663.99,1650.66
5,697.62,1805.53
6,756.80,1937.81
7,859.62,2027.62
8,1017.93,2071.19
9,1198.58,2069.12
10,1367.14,1998.75
11,1494.75,1901.74
12,1598.69,1723.08
13,1645.66,1588.49
14,1683.83,1446.34
15,1714.59,1266.35
16,1538.21,1185.69
17,1446.05,1108.38
18,1338.31,1091.82
19,1230.06,1128.45
20,1331.81,1157.33
21,1433.76,1172.14
22,754.64,1027.99
23,848.29,983.23
24,946.39,1008.60
25,1033.02,1087.32
26,932.58,1072.10
27,840.83,1053.18
28,793.12,1118.93
29,878.19,1090.59
30,963.94,1150.69
31,870.33,1158.83
32,871.79,1123.45
33,1468.64,1241.60
34,1386.36,1186.62
35,1293.14,1214.19
36,1374.50,1254.86
37,1380.47,1216.67
38,1073.52,1156.94
39,1019.25,1331.30
40,919.33,1427.31
41,945.92,1481.24
42,1065.66,1541.58
43,1208.78,1527.68
44,1255.47,1488.71
45,1190.85,1378.87
46,1192.18,1179.22
47,978.41,1473.50
48,1162.41,1510.04
49,844.99,1646.45
50,926.27,1615.06
51,1009.10,1613.27
52,1051.89,1630.38
53,1107.62,1630.10
54,1186.12,1659.23
55,1272.77,1720.66
56,1207.45,1759.78
57,1126.15,1766.82
58,1037.25,1755.15
59,962.44,1736.35
60,898.63,1702.65
61,952.81,1673.01
62,1044.39,1700.49
63,1146.19,1705.47
64,1149.12,1683.39
65,1048.21,1669.24
66,953.92,1649.49
67,1044.55,1682.82
68,1072.44,1449.74
69,834.97,1104.86
70,920.90,1121.40
71,917.98,1155.49
72,831.87,1139.62
73,1427.50,1214.72
74,1339.33,1200.89
75,1334.44,1234.53
76,1421.31,1249.60
