facialLandmark,x,y
1,36.00,108.00
2,36.70,143.00
3,42.00,176.50
4,46.00,192.00
5,62.70,210.70
6,82.00,226.30
7,104.00,239.00
8,130.00,242.00
9,152.00,235.00
10,165.30,220.30
11,177.00,204.70
12,187.00,188.00
13,190.50,174.50
14,197.30,145.00
15,201.00,112.00
16,197.00,96.00
17,183.00,85.00
18,167.00,87.00
19,151.00,97.00
20,168.00,95.00
21,183.00,93.00
22,67.00,92.00
23,86.00,82.00
24,106.00,84.00
25,122.00,95.00
26,104.00,92.00
27,86.00,90.00
28,80.00,108.00
29,96.00,102.00
30,111.00,110.00
31,95.00,115.00
32,95.00,107.00
33,183.00,112.00
34,169.00,104.00
35,154.00,112.00
36,169.00,117.00
37,167.00,110.00
38,125.00,110.70
39,125.00,138.00
40,111.00,154.00
41,117.00,162.00
42,136.00,169.00
43,152.00,163.00
44,158.00,155.00
45,148.00,138.00
46,148.00,111.30
47,124.00,160.00
48,149.00,161.00
49,91.00,185.00
50,111.00,183.00
51,126.00,183.00
52,135.00,184.00
53,143.00,184.00
54,155.00,184.00
55,166.00,187.00
56,158.00,200.00
57,147.00,207.00
58,132.00,209.00
59,116.00,207.00
60,102.00,199.00
61,115.00,197.00
62,133.00,200.00
63,149.00,197.00
64,149.00,187.00
65,134.00,188.00
66,115.00,186.00
67,133.50,194.00
68,140.00,155.00
69,88.00,104.00
70,103.00,104.00
71,103.00,114.00
72,88.00,113.00
73,176.00,106.00
74,161.00,107.00
75,161.00,116.00
76,176.00,115.00
