facialLandmark,x,y
1,42.00,130.00
2,41.70,161.00
3,45.00,184.50
4,47.00,194.00
5,56.30,212.00
6,68.70,227.70
7,84.00,241.00
8,105.00,247.00
9,128.00,243.00
10,147.30,231.00
11,162.70,216.30
12,174.00,199.00
13,176.50,190.00
14,180.30,166.30
15,181.00,134.00
16,170.00,119.00
17,156.00,110.00
18,139.00,111.00
19,123.00,120.00
20,140.00,118.00
21,155.00,116.00
22,49.00,115.00
23,62.00,107.00
24,77.00,110.00
25,91.00,120.00
26,76.00,117.00
27,62.00,114.00
28,61.00,131.00
29,74.00,124.00
30,88.00,133.00
31,74.00,136.00
32,75.00,130.00
33,154.00,133.00
34,141.00,126.00
35,128.00,135.00
36,142.00,138.00
37,141.00,132.00
38,94.00,133.70
39,94.00,155.00
40,83.00,166.00
41,87.00,173.00
42,104.00,180.00
43,122.00,174.00
44,128.00,167.00
45,116.00,155.00
46,116.00,134.30
47,92.00,173.00
48,116.00,173.00
49,70.00,191.00
50,84.00,186.00
51,97.00,185.00
52,104.00,186.00
53,111.00,185.00
54,126.00,186.00
55,142.00,191.00
56,133.00,205.00
57,120.00,212.00
58,105.00,214.00
59,90.00,212.00
60,78.00,205.00
61,89.00,202.00
62,105.00,205.00
63,122.00,203.00
64,121.00,191.00
65,104.00,192.00
66,89.00,191.00
67,104.50,198.50
68,103.00,168.00
69,68.00,126.00
70,81.00,127.00
71,81.00,135.00
72,67.00,134.00
73,148.00,129.00
74,134.00,129.00
75,135.00,137.00
76,148.00,137.00
