facialLandmark,x,y
1,47.00,118.00
2,50.00,150.00
3,54.50,173.50
4,57.00,183.00
5,69.00,202.30
6,83.70,218.00
7,101.00,230.00
8,123.00,234.00
9,145.00,228.00
10,160.30,213.30
11,172.30,196.30
12,181.00,177.00
13,182.50,167.00
14,184.70,143.00
15,183.00,111.00
16,170.00,93.00
17,157.00,84.00
18,143.00,86.00
19,130.00,96.00
20,144.00,93.00
21,157.00,91.00
22,59.00,99.00
23,72.00,89.00
24,87.00,89.00
25,100.00,98.00
26,86.00,96.00
27,73.00,95.00
28,72.00,116.00
29,84.00,109.00
30,98.00,116.00
31,85.00,120.00
32,86.00,114.00
33,160.00,111.00
34,148.00,105.00
35,135.00,114.00
36,149.00,116.00
37,148.00,111.00
38,106.00,115.30
39,106.00,133.00
40,94.00,148.00
41,101.00,154.00
42,119.00,157.00
43,136.00,152.00
44,141.00,145.00
45,128.00,131.00
46,128.00,114.70
47,107.00,151.00
48,130.00,150.00
49,87.00,178.00
50,99.00,166.00
51,112.00,163.00
52,119.00,163.00
53,125.00,162.00
54,138.00,164.00
55,151.00,173.00
56,146.00,188.00
57,135.00,197.00
58,121.00,200.00
59,107.00,199.00
60,95.00,192.00
61,106.00,187.00
62,121.00,189.00
63,135.00,185.00
64,133.00,171.00
65,119.00,172.00
66,105.00,173.00
67,120.00,180.50
68,118.00,143.00
69,78.00,111.00
70,91.00,111.00
71,91.00,119.00
72,78.00,119.00
73,154.00,107.00
74,141.00,108.00
75,142.00,116.00
76,154.00,115.00
