facialLandmark,x,y
1,37.00,98.00
2,40.70,125.00
3,46.50,145.00
4,49.00,153.00
5,62.30,167.70
6,77.70,179.70
7,95.00,189.00
8,113.00,190.00
9,129.00,183.00
10,139.00,169.00
11,146.70,154.70
12,152.00,140.00
13,152.50,130.50
14,152.30,109.00
15,147.00,84.00
16,141.00,70.00
17,130.00,65.00
18,119.00,67.00
19,110.00,76.00
20,121.00,73.00
21,131.00,70.00
22,49.00,83.00
23,60.00,75.00
24,72.00,74.00
25,84.00,80.00
26,72.00,80.00
27,60.00,80.00
28,60.00,96.00
29,70.00,89.00
30,82.00,94.00
31,71.00,98.00
32,71.00,93.00
33,135.00,85.00
34,124.00,81.00
35,114.00,89.00
36,126.00,90.00
37,125.00,86.00
38,94.00,92.30
39,94.00,113.00
40,88.00,120.00
41,92.00,128.00
42,106.00,131.00
43,116.00,125.00
44,117.00,117.00
45,110.00,110.00
46,110.00,90.70
47,96.00,127.00
48,113.00,124.00
49,80.00,147.00
50,91.00,141.00
51,101.00,138.00
52,107.00,138.00
53,111.00,136.00
54,121.00,136.00
55,130.00,138.00
56,127.00,149.00
57,120.00,157.00
58,110.00,161.00
59,98.00,161.00
60,88.00,156.00
61,96.00,154.00
62,109.00,154.00
63,120.00,150.00
64,118.00,139.00
65,107.00,142.00
66,94.00,143.00
67,108.00,148.00
68,105.00,122.00
69,65.00,91.00
70,76.00,90.00
71,77.00,97.00
72,66.00,98.00
73,129.00,82.00
74,119.00,84.00
75,120.00,90.00
76,130.00,88.00
