facialLandmark,x,y
1,117.93,151.36
2,119.00,175.08
3,124.07,196.60
4,131.26,216.68
5,142.91,233.65
6,156.72,246.81
7,173.58,258.24
8,194.85,261.69
9,214.55,255.95
10,229.03,242.95
11,241.29,230.49
12,251.71,211.01
13,255.29,186.71
14,256.19,162.31
15,252.69,135.82
16,236.63,121.94
17,222.51,115.97
18,208.49,118.00
19,196.48,126.77
20,210.04,123.98
21,222.72,121.52
22,127.60,133.74
23,139.29,125.95
24,151.21,125.26
25,165.20,131.36
26,151.24,131.31
27,139.67,131.20
28,137.70,149.89
29,149.46,140.69
30,163.82,148.14
31,150.73,153.84
32,151.16,146.69
33,228.80,138.43
34,214.55,132.48
35,202.14,142.94
36,216.45,145.39
37,215.77,138.62
38,175.00,144.42
39,174.62,171.89
40,167.94,184.61
41,172.40,191.02
42,187.92,194.88
43,201.49,187.70
44,206.22,182.85
45,196.02,169.27
46,189.88,142.69
47,176.69,189.19
48,197.25,187.05
49,160.87,216.10
50,171.31,208.98
51,182.25,205.69
52,189.01,205.96
53,195.61,204.27
54,207.34,205.20
55,219.06,209.71
56,211.96,218.65
57,202.84,223.60
58,191.03,226.48
59,178.72,226.24
60,168.73,223.15
61,176.96,217.67
62,190.32,218.02
63,203.69,214.85
64,203.26,209.69
65,189.62,211.56
66,176.55,212.78
67,189.95,214.62
68,186.13,182.57
69,143.49,145.17
70,156.51,144.48
71,157.28,150.95
72,144.15,151.92
73,221.71,135.38
74,208.33,137.66
75,209.23,144.28
76,222.63,142.02
