facialLandmark,x,y
1,120.46,187.04
2,119.28,213.01
3,121.06,235.48
4,125.18,258.96
5,134.33,279.08
6,146.38,294.22
7,162.66,304.25
8,183.14,308.76
9,203.79,305.28
10,221.06,295.49
11,233.41,280.31
12,242.23,261.97
13,248.12,241.08
14,252.52,218.52
15,254.89,191.65
16,243.64,179.01
17,230.66,170.09
18,215.97,171.18
19,202.88,179.35
20,217.32,177.16
21,230.47,175.61
22,131.08,171.85
23,144.01,164.78
24,158.30,167.03
25,172.19,176.42
26,156.82,172.56
27,143.99,170.07
28,142.40,187.60
29,154.87,181.79
30,168.39,190.17
31,154.50,193.45
32,155.90,186.88
33,232.25,192.38
34,220.05,185.68
35,206.53,192.27
36,219.88,196.48
37,220.24,190.74
38,180.65,191.92
39,177.08,216.17
40,166.88,227.93
41,172.28,236.62
42,186.43,242.39
43,199.99,237.38
44,205.91,229.59
45,197.05,216.68
46,195.24,192.49
47,175.84,235.08
48,197.17,236.11
49,154.34,255.31
50,167.77,250.95
51,179.97,250.46
52,186.17,251.21
53,192.15,250.88
54,203.07,251.88
55,213.90,256.93
56,206.71,267.33
57,196.85,272.73
58,185.12,273.97
59,173.42,272.46
60,162.06,266.68
61,171.77,265.84
62,185.47,268.36
63,198.65,266.34
64,198.86,255.34
65,186.09,255.88
66,172.23,254.72
67,185.74,261.45
68,187.20,231.12
69,148.57,184.59
70,161.56,186.04
71,161.46,191.74
72,148.42,190.45
73,226.16,188.97
74,213.38,188.90
75,213.16,194.44
76,226.03,194.42
