facialLandmark,x,y
1,78.00,344.00
2,77.70,403.70
3,86.00,456.50
4,91.00,480.00
5,114.30,522.00
6,144.70,558.30
7,182.00,589.00
8,227.00,598.00
9,275.00,589.00
10,317.70,557.70
11,352.70,518.00
12,380.00,470.00
13,383.00,447.00
14,388.00,393.30
15,385.00,331.00
16,348.00,314.00
17,317.00,294.00
18,281.00,296.00
19,249.00,316.00
20,284.00,314.00
21,317.00,312.00
22,98.00,324.00
23,125.00,301.00
24,159.00,302.00
25,190.00,319.00
26,157.00,320.00
27,126.00,320.00
28,123.00,343.00
29,147.00,330.00
30,175.00,341.00
31,148.00,349.00
32,146.00,339.00
33,321.00,335.00
34,294.00,323.00
35,267.00,337.00
36,294.00,343.00
37,294.00,332.00
38,199.00,339.70
39,199.00,387.00
40,180.00,405.00
41,186.00,429.00
42,220.00,442.00
43,257.00,426.00
44,262.00,403.00
45,242.00,387.00
46,242.00,338.30
47,195.00,428.00
48,245.00,426.00
49,152.00,472.00
50,180.00,468.00
51,207.00,467.00
52,222.00,470.00
53,237.00,466.00
54,265.00,465.00
55,297.00,466.00
56,277.00,488.00
57,252.00,500.00
58,223.00,504.00
59,195.00,502.00
60,171.00,491.00
61,189.00,490.00
62,223.00,495.00
63,258.00,488.00
64,257.00,468.00
65,222.00,474.00
66,188.00,471.00
67,222.50,484.50
68,218.00,419.00
69,135.00,334.00
70,161.00,333.00
71,161.00,347.00
72,135.00,348.00
73,307.00,327.00
74,280.00,328.00
75,281.00,342.00
76,307.00,341.00
