facialLandmark,x,y
1,90.00,358.00
2,88.00,421.30
3,98.50,487.00
4,105.00,518.00
5,127.70,559.30
6,155.00,597.70
7,187.00,633.00
8,231.00,647.00
9,275.00,640.00
10,303.00,611.30
11,328.00,582.70
12,350.00,554.00
13,361.00,524.00
14,381.30,457.30
15,390.00,388.00
16,383.00,365.00
17,353.00,343.00
18,314.00,347.00
19,278.00,367.00
20,316.00,367.00
21,351.00,364.00
22,117.00,339.00
23,154.00,325.00
24,191.00,336.00
25,223.00,362.00
26,186.00,355.00
27,151.00,345.00
28,141.00,367.00
29,171.00,356.00
30,200.00,375.00
31,169.00,383.00
32,170.00,367.00
33,348.00,385.00
34,321.00,370.00
35,290.00,383.00
36,320.00,395.00
37,320.00,380.00
38,223.00,377.70
39,223.00,436.00
40,199.00,460.00
41,207.00,483.00
42,243.00,499.00
43,275.00,488.00
44,285.00,467.00
45,266.00,438.00
46,266.00,380.30
47,217.00,482.00
48,268.00,486.00
49,174.00,527.00
50,203.00,527.00
51,226.00,528.00
52,241.00,532.00
53,255.00,530.00
54,277.00,532.00
55,301.00,535.00
56,283.00,553.00
57,263.00,564.00
58,238.00,566.00
59,212.00,561.00
60,191.00,548.00
61,209.00,542.00
62,239.00,550.00
63,268.00,546.00
64,268.00,539.00
65,240.00,541.00
66,210.00,536.00
67,239.50,545.50
68,245.00,476.00
69,157.00,359.00
70,186.00,363.00
71,184.00,381.00
72,155.00,378.00
73,335.00,375.00
74,306.00,373.00
75,305.00,391.00
76,334.00,393.00
