facialLandmark,x,y
1,100.00,106.00
2,97.70,135.30
3,100.00,161.50
4,101.00,173.00
5,108.30,190.30
6,119.00,206.70
7,133.00,222.00
8,153.00,227.00
9,172.00,224.00
10,187.30,211.30
11,200.30,196.00
12,211.00,178.00
13,213.50,166.00
14,217.30,138.70
15,216.00,110.00
16,206.00,100.00
17,194.00,90.00
18,180.00,90.00
19,167.00,98.00
20,181.00,99.00
21,194.00,99.00
22,105.00,99.00
23,116.00,88.00
24,130.00,88.00
25,144.00,97.00
26,130.00,97.00
27,117.00,97.00
28,118.00,107.00
29,128.00,102.00
30,139.00,109.00
31,128.00,112.00
32,128.00,106.00
33,195.00,109.00
34,184.00,103.00
35,173.00,110.00
36,184.00,113.00
37,185.00,108.00
38,146.00,109.30
39,146.00,131.00
40,137.00,142.00
41,140.00,152.00
42,155.00,156.00
43,171.00,153.00
44,174.00,143.00
45,165.00,131.00
46,165.00,109.70
47,145.00,150.00
48,166.00,150.00
49,131.00,175.00
50,140.00,169.00
51,149.00,167.00
52,155.00,169.00
53,161.00,167.00
54,170.00,170.00
55,179.00,177.00
56,173.00,185.00
57,164.00,189.00
58,154.00,190.00
59,144.00,188.00
60,136.00,183.00
61,143.00,179.00
62,154.00,181.00
63,166.00,180.00
64,166.00,175.00
65,155.00,175.00
66,143.00,174.00
67,154.50,178.00
68,155.00,145.00
69,123.00,103.00
70,134.00,104.00
71,133.00,111.00
72,123.00,110.00
73,190.00,105.00
74,179.00,105.00
75,179.00,112.00
76,190.00,112.00
