facialLandmark,x,y
1,43.00,136.00
2,42.30,166.70
3,44.50,193.50
4,46.00,205.00
5,56.70,226.30
6,71.70,244.30
7,91.00,259.00
8,115.00,263.00
9,138.00,259.00
10,157.30,244.30
11,173.00,226.00
12,185.00,204.00
13,186.50,191.50
14,188.70,164.30
15,187.00,133.00
16,170.00,123.00
17,157.00,113.00
18,141.00,114.00
19,127.00,124.00
20,142.00,124.00
21,157.00,123.00
22,59.00,127.00
23,73.00,116.00
24,89.00,116.00
25,103.00,125.00
26,88.00,125.00
27,73.00,126.00
28,70.00,136.00
29,82.00,129.00
30,95.00,136.00
31,82.00,140.00
32,82.00,134.00
33,160.00,134.00
34,148.00,127.00
35,136.00,135.00
36,148.00,138.00
37,149.00,132.00
38,104.00,135.70
39,104.00,157.00
40,92.00,171.00
41,96.00,181.00
42,115.00,185.00
43,135.00,180.00
44,139.00,170.00
45,126.00,157.00
46,126.00,135.30
47,102.00,179.00
48,129.00,178.00
49,82.00,205.00
50,96.00,199.00
51,108.00,197.00
52,115.00,198.00
53,122.00,197.00
54,135.00,198.00
55,148.00,204.00
56,139.00,213.00
57,128.00,217.00
58,115.00,218.00
59,102.00,217.00
60,91.00,213.00
61,100.00,209.00
62,115.00,210.00
63,130.00,208.00
64,130.00,203.00
65,115.00,204.00
66,100.00,203.00
67,115.00,207.00
68,116.00,172.00
69,76.00,131.00
70,89.00,131.00
71,89.00,139.00
72,76.00,138.00
73,154.00,129.00
74,142.00,130.00
75,142.00,137.00
76,154.00,136.00
