facialLandmark,x,y
1,27.00,141.00
2,29.30,177.30
3,35.00,207.00
4,38.00,220.00
5,50.00,238.70
6,64.70,253.30
7,82.00,264.00
8,105.00,267.00
9,130.00,263.00
10,147.30,250.30
11,160.70,234.30
12,170.00,215.00
13,172.00,202.00
14,175.30,173.70
15,175.00,140.00
16,160.00,126.00
17,146.00,115.00
18,130.00,115.00
19,115.00,125.00
20,131.00,124.00
21,145.00,124.00
22,39.00,126.00
23,52.00,115.00
24,68.00,115.00
25,83.00,124.00
26,67.00,123.00
27,53.00,123.00
28,54.00,141.00
29,66.00,134.00
30,79.00,141.00
31,66.00,145.00
32,67.00,139.00
33,148.00,141.00
34,135.00,134.00
35,122.00,142.00
36,135.00,146.00
37,135.00,139.00
38,89.00,141.30
39,89.00,162.00
40,77.00,182.00
41,84.00,189.00
42,102.00,193.00
43,119.00,189.00
44,126.00,181.00
45,111.00,162.00
46,111.00,141.70
47,89.00,185.00
48,113.00,184.00
49,71.00,218.00
50,84.00,213.00
51,96.00,211.00
52,103.00,212.00
53,110.00,210.00
54,122.00,212.00
55,135.00,217.00
56,126.00,223.00
57,115.00,226.00
58,104.00,227.00
59,92.00,226.00
60,81.00,224.00
61,89.00,219.00
62,103.00,220.00
63,118.00,218.00
64,118.00,216.00
65,103.00,217.00
66,89.00,217.00
67,103.00,218.50
68,101.00,176.00
69,60.00,136.00
70,72.00,136.00
71,73.00,144.00
72,60.00,144.00
73,141.00,136.00
74,128.00,136.00
75,129.00,144.00
76,141.00,144.00
