facialLandmark,x,y
1,112.83,75.19
2,114.32,99.26
3,117.01,122.27
4,125.53,149.68
5,138.03,167.56
6,153.09,181.51
7,169.79,194.61
8,189.91,199.90
9,208.62,194.73
10,219.10,181.33
11,226.68,168.07
12,233.04,157.63
13,243.59,131.63
14,248.97,109.08
15,251.01,85.44
16,243.53,73.70
17,232.93,65.82
18,220.69,66.59
19,208.41,72.79
20,220.94,73.51
21,232.44,73.29
22,138.47,65.48
23,151.69,59.38
24,167.75,61.31
25,181.62,68.57
26,166.68,67.79
27,152.23,66.09
28,149.17,78.42
29,160.56,73.72
30,172.47,80.21
31,160.55,83.98
32,160.75,77.74
33,233.69,85.18
34,223.86,79.27
35,212.27,84.00
36,223.65,89.42
37,223.78,83.43
38,186.83,80.69
39,184.76,103.36
40,172.49,113.58
41,178.22,125.01
42,196.55,130.64
43,211.33,127.09
44,215.83,117.11
45,205.27,102.22
46,202.59,81.18
47,184.84,122.34
48,208.05,123.60
49,167.55,151.07
50,179.00,148.88
51,188.46,148.50
52,195.51,149.84
53,201.57,148.98
54,208.55,150.88
55,214.68,153.10
56,209.74,160.38
57,203.13,165.38
58,194.12,166.77
59,182.79,164.60
60,173.77,159.45
61,182.29,154.82
62,194.29,158.02
63,205.11,156.11
64,205.17,154.43
65,194.79,154.35
66,182.50,152.98
67,194.50,155.98
68,198.45,117.40
69,154.79,76.07
70,166.48,77.15
71,166.54,82.12
72,154.90,81.25
73,228.88,82.21
74,218.32,81.60
75,218.10,86.82
76,228.65,87.25
