facialLandmark,x,y
1,103.03,248.75
2,100.93,284.63
3,104.36,316.57
4,112.31,346.25
5,124.55,378.26
6,141.51,403.10
7,170.17,415.79
8,201.81,419.78
9,233.56,415.26
10,260.23,402.07
11,279.80,379.55
12,292.88,346.30
13,297.23,316.64
14,301.19,286.80
15,300.97,250.11
16,287.04,230.42
17,268.64,213.85
18,246.51,214.13
19,227.27,226.94
20,248.14,224.01
21,267.69,223.01
22,122.03,229.86
23,139.65,214.03
24,159.85,213.76
25,181.96,226.31
26,159.36,223.91
27,140.79,223.06
28,136.08,249.42
29,154.97,238.48
30,176.27,250.17
31,155.38,255.87
32,155.33,246.29
33,272.34,250.43
34,253.01,239.47
35,233.33,250.71
36,253.18,256.61
37,252.20,247.52
38,194.42,248.11
39,190.51,279.99
40,173.74,297.81
41,180.20,308.74
42,204.03,316.36
43,227.13,310.02
44,235.11,303.33
45,219.67,280.72
46,216.75,248.40
47,187.83,306.81
48,220.33,307.79
49,158.04,344.00
50,175.54,326.79
51,194.25,322.53
52,203.13,323.68
53,211.68,322.75
54,230.56,327.45
55,247.52,343.69
56,237.81,360.93
57,220.68,370.27
58,201.99,372.59
59,183.64,370.99
60,166.87,362.13
61,182.67,356.65
62,202.37,359.26
63,223.05,356.35
64,222.92,335.08
65,202.95,335.31
66,183.08,335.11
67,202.67,346.54
68,204.77,300.07
69,145.47,243.76
70,165.34,244.39
71,165.68,252.91
72,145.62,252.63
73,262.65,244.70
74,243.23,244.99
75,243.21,253.62
76,262.83,253.45
