facialLandmark,x,y
1,197.24,234.87
2,200.02,266.30
3,206.25,294.55
4,217.73,323.10
5,234.56,349.83
6,255.85,368.37
7,283.79,379.11
8,312.28,380.31
9,338.29,372.94
10,354.19,355.79
11,367.33,336.30
12,375.15,310.72
13,378.54,282.86
14,380.18,256.00
15,376.89,226.54
16,372.73,211.69
17,356.46,200.64
18,338.85,203.10
19,320.12,214.91
20,339.93,214.49
21,356.89,212.39
22,221.66,216.21
23,240.27,204.78
24,261.25,205.42
25,283.89,214.65
26,261.63,216.58
27,241.46,216.17
28,239.55,233.11
29,255.58,225.51
30,274.31,231.22
31,257.61,237.90
32,256.05,230.39
33,358.41,228.66
34,342.65,222.84
35,326.34,230.02
36,343.21,233.13
37,342.67,227.93
38,293.48,231.04
39,293.21,264.22
40,281.19,280.04
41,289.71,290.87
42,310.76,295.79
43,326.92,290.20
44,332.71,281.29
45,319.39,261.17
46,312.57,229.80
47,295.26,289.43
48,324.52,288.76
49,271.90,317.56
50,288.19,310.27
51,302.54,307.96
52,310.98,308.57
53,317.92,306.79
54,330.19,308.68
55,342.48,313.38
56,333.52,320.94
57,323.39,325.17
58,311.13,327.16
59,296.57,327.15
60,283.62,324.44
61,293.63,318.31
62,310.59,319.54
63,325.80,316.62
64,325.53,313.09
65,310.69,314.45
66,293.35,314.46
67,310.68,316.97
68,311.58,283.30
69,247.49,229.32
70,264.80,228.42
71,265.99,234.74
72,248.59,235.68
73,350.58,225.66
74,334.67,226.34
75,334.88,231.69
76,350.83,230.96
