facialLandmark,x,y
1,266.51,438.82
2,263.26,490.35
3,267.27,540.74
4,283.69,593.14
5,306.29,626.77
6,332.04,655.23
7,367.74,677.26
8,410.29,684.37
9,454.64,675.42
10,487.64,649.48
11,513.76,617.76
12,534.81,585.17
13,550.80,543.83
14,560.31,501.13
15,563.55,453.33
16,542.75,430.82
17,518.68,411.36
18,488.66,414.44
19,460.14,433.73
20,490.51,430.18
21,517.59,427.95
22,307.22,416.12
23,335.82,399.05
24,368.38,404.62
25,397.08,427.56
26,365.04,420.77
27,336.51,415.70
28,328.95,442.00
29,354.85,433.44
30,379.27,448.81
31,353.08,452.28
32,354.34,442.10
33,520.27,454.47
34,496.91,442.61
35,472.19,454.72
36,496.86,459.16
37,495.34,451.30
38,411.11,451.96
39,404.38,498.05
40,374.09,527.29
41,382.74,537.77
42,421.71,556.44
43,458.80,542.53
44,468.17,533.35
45,445.32,500.70
46,442.89,453.92
47,395.52,541.31
48,449.13,545.34
49,348.76,574.26
50,381.16,573.92
51,406.87,576.25
52,419.85,579.40
53,432.67,577.47
54,454.73,578.00
55,480.95,582.03
56,461.99,597.85
57,440.38,605.24
58,416.88,605.77
59,392.31,602.89
60,368.57,593.42
61,390.32,592.09
62,417.80,597.70
63,445.17,594.45
64,445.22,584.56
65,419.19,586.49
66,390.67,581.01
67,418.57,591.50
68,424.71,536.50
69,341.76,437.51
70,366.70,441.10
71,366.05,450.69
72,340.78,447.36
73,508.46,448.41
74,484.68,448.73
75,484.60,456.97
76,508.31,456.86
