facialLandmark,x,y
1,38.00,224.00
2,46.70,268.70
3,57.50,302.00
4,63.00,316.00
5,83.00,340.70
6,106.30,360.70
7,133.00,376.00
8,165.00,379.00
9,195.00,368.00
10,217.00,346.70
11,234.70,321.00
12,248.00,291.00
13,249.50,275.00
14,250.30,238.30
15,245.00,193.00
16,213.00,172.00
17,194.00,166.00
18,176.00,169.00
19,160.00,181.00
20,178.00,177.00
21,194.00,173.00
22,58.00,195.00
23,73.00,183.00
24,92.00,181.00
25,111.00,189.00
26,92.00,190.00
27,75.00,191.00
28,75.00,219.00
29,90.00,207.00
30,110.00,214.00
31,93.00,221.00
32,92.00,214.00
33,205.00,199.00
34,187.00,193.00
35,170.00,206.00
36,189.00,207.00
37,188.00,200.00
38,130.00,211.30
39,130.00,243.00
40,118.00,263.00
41,127.00,271.00
42,150.00,275.00
43,170.00,265.00
44,178.00,255.00
45,160.00,238.00
46,160.00,208.70
47,133.00,268.00
48,164.00,263.00
49,109.00,304.00
50,124.00,291.00
51,142.00,286.00
52,151.00,285.00
53,160.00,283.00
54,179.00,282.00
55,198.00,290.00
56,193.00,312.00
57,178.00,326.00
58,159.00,332.00
59,139.00,332.00
60,121.00,323.00
61,136.00,320.00
62,158.00,321.00
63,178.00,313.00
64,173.00,288.00
65,152.00,293.00
66,132.00,295.00
67,155.00,307.00
68,147.00,258.00
69,82.00,211.00
70,100.00,209.00
71,101.00,219.00
72,84.00,221.00
73,196.00,195.00
74,178.00,197.00
75,180.00,207.00
76,197.00,204.00
