facialLandmark,x,y
1,46.00,249.00
2,52.30,293.30
3,64.50,335.00
4,72.00,356.00
5,89.30,385.30
6,108.30,411.30
7,129.00,434.00
8,161.00,441.00
9,195.00,432.00
10,217.70,409.30
11,237.70,382.70
12,255.00,352.00
13,259.00,330.50
14,264.30,284.30
15,265.00,235.00
16,227.00,219.00
17,207.00,209.00
18,185.00,211.00
19,164.00,223.00
20,186.00,222.00
21,207.00,221.00
22,69.00,226.00
23,86.00,216.00
24,105.00,217.00
25,123.00,227.00
26,104.00,228.00
27,87.00,228.00
28,78.00,248.00
29,93.00,239.00
30,113.00,246.00
31,95.00,253.00
32,94.00,245.00
33,215.00,239.00
34,197.00,231.00
35,179.00,241.00
36,198.00,245.00
37,198.00,237.00
38,129.00,244.30
39,129.00,276.00
40,115.00,302.00
41,125.00,313.00
42,148.00,317.00
43,172.00,309.00
44,182.00,298.00
45,161.00,274.00
46,161.00,242.70
47,129.00,308.00
48,164.00,305.00
49,116.00,354.00
50,127.00,342.00
51,141.00,337.00
52,150.00,337.00
53,160.00,336.00
54,177.00,338.00
55,195.00,348.00
56,188.00,367.00
57,173.00,378.00
58,156.00,382.00
59,139.00,381.00
60,124.00,372.00
61,136.00,366.00
62,154.00,370.00
63,173.00,364.00
64,171.00,344.00
65,152.00,347.00
66,134.00,347.00
67,153.00,358.50
68,144.00,298.00
69,85.00,242.00
70,103.00,241.00
71,104.00,250.00
72,86.00,251.00
73,206.00,233.00
74,188.00,234.00
75,188.00,244.00
76,206.00,243.00
