facialLandmark,x,y
1,154.00,235.00
2,156.00,289.00
3,167.00,344.50
4,174.00,372.00
5,202.70,408.70
6,235.30,438.00
7,272.00,460.00
8,316.00,464.00
9,357.00,452.00
10,380.30,424.70
11,399.70,394.30
12,415.00,361.00
13,420.00,338.00
14,429.70,289.00
15,434.00,234.00
16,440.00,203.00
17,421.00,174.00
18,388.00,171.00
19,355.00,188.00
20,388.00,189.00
21,417.00,190.00
22,187.00,199.00
23,215.00,174.00
24,249.00,172.00
25,281.00,188.00
26,249.00,189.00
27,218.00,190.00
28,210.00,234.00
29,236.00,221.00
30,263.00,233.00
31,236.00,243.00
32,234.00,230.00
33,412.00,234.00
34,389.00,220.00
35,361.00,233.00
36,388.00,241.00
37,386.00,229.00
38,297.00,233.00
39,297.00,270.00
40,271.00,297.00
41,282.00,314.00
42,319.00,323.00
43,352.00,314.00
44,361.00,297.00
45,340.00,270.00
46,340.00,233.00
47,296.00,309.00
48,344.00,309.00
49,246.00,363.00
50,278.00,356.00
51,303.00,352.00
52,318.00,354.00
53,332.00,352.00
54,353.00,355.00
55,375.00,362.00
56,359.00,377.00
57,339.00,386.00
58,316.00,390.00
59,290.00,387.00
60,267.00,379.00
61,285.00,371.00
62,316.00,375.00
63,344.00,370.00
64,345.00,364.00
65,317.00,365.00
66,286.00,364.00
67,316.50,370.00
68,323.00,297.00
69,223.00,225.00
70,249.00,224.00
71,250.00,240.00
72,223.00,240.00
73,400.00,223.00
74,375.00,224.00
75,375.00,239.00
76,400.00,239.00
