facialLandmark,x,y
1,50.00,167.00
2,57.70,202.70
3,68.00,233.50
4,73.00,247.00
5,93.00,269.70
6,116.00,286.00
7,142.00,296.00
8,170.00,294.00
9,196.00,284.00
10,212.70,264.00
11,224.30,240.00
12,231.00,212.00
13,230.00,196.00
14,227.00,163.30
15,220.00,132.00
16,204.00,124.00
17,185.00,113.00
18,166.00,118.00
19,151.00,132.00
20,169.00,128.00
21,187.00,124.00
22,67.00,154.00
23,80.00,136.00
24,101.00,131.00
25,122.00,137.00
26,102.00,142.00
27,83.00,146.00
28,85.00,160.00
29,98.00,148.00
30,115.00,153.00
31,101.00,160.00
32,101.00,153.00
33,193.00,137.00
34,178.00,131.00
35,164.00,142.00
36,180.00,144.00
37,180.00,137.00
38,132.00,149.30
39,132.00,171.00
40,122.00,192.00
41,131.00,201.00
42,151.00,201.00
43,169.00,193.00
44,172.00,182.00
45,155.00,165.00
46,155.00,145.70
47,136.00,195.00
48,162.00,189.00
49,119.00,237.00
50,134.00,228.00
51,147.00,223.00
52,156.00,222.00
53,164.00,219.00
54,178.00,218.00
55,193.00,221.00
56,184.00,232.00
57,173.00,239.00
58,160.00,243.00
59,145.00,245.00
60,131.00,244.00
61,141.00,238.00
62,158.00,236.00
63,175.00,230.00
64,173.00,222.00
65,156.00,226.00
66,139.00,230.00
67,157.00,231.00
68,148.00,183.00
69,91.00,152.00
70,106.00,149.00
71,108.00,157.00
72,93.00,161.00
73,185.00,132.00
74,170.00,135.00
75,172.00,144.00
76,187.00,141.00
