facialLandmark,x,y
1,241.14,282.94
2,246.85,325.94
3,255.85,364.13
4,268.45,402.76
5,283.86,425.46
6,302.10,449.49
7,321.90,473.85
8,352.77,484.15
9,385.18,476.55
10,412.18,456.57
11,431.69,433.04
12,446.64,403.93
13,457.27,361.13
14,462.48,320.24
15,465.93,275.71
16,435.21,255.27
17,410.67,247.30
18,387.51,252.15
19,364.99,266.59
20,389.53,264.58
21,411.60,259.82
22,250.13,262.36
23,271.52,251.21
24,296.68,255.21
25,318.63,270.07
26,294.70,268.05
27,271.34,264.29
28,272.72,284.28
29,291.09,274.61
30,313.51,286.54
31,291.46,293.82
32,292.20,282.71
33,415.88,279.50
34,394.06,271.05
35,372.88,284.24
36,395.74,292.35
37,395.15,279.56
38,329.36,289.58
39,324.36,336.34
40,310.33,356.75
41,318.99,365.40
42,343.76,375.95
43,365.79,364.41
44,376.18,353.88
45,359.34,334.80
46,353.99,288.81
47,323.26,367.64
48,361.38,365.88
49,304.38,393.60
50,320.80,387.58
51,337.27,387.06
52,346.27,388.09
53,355.72,386.48
54,375.02,385.17
55,395.84,389.23
56,386.04,411.57
57,369.12,425.52
58,349.32,429.71
59,330.81,426.92
60,314.69,414.65
61,327.42,411.52
62,348.63,416.06
63,370.86,410.27
64,369.59,392.07
65,347.26,396.61
66,327.29,394.38
67,348.01,405.52
68,340.58,362.99
69,281.85,279.23
70,302.27,280.55
71,302.45,290.26
72,282.15,289.16
73,405.23,275.27
74,383.43,277.59
75,384.06,288.60
76,405.56,286.13
