facialLandmark,x,y
1,583.71,1334.41
2,581.82,1538.91
3,616.74,1724.08
4,659.96,1895.60
5,728.54,2055.93
6,819.16,2194.77
7,932.66,2305.13
8,1110.76,2352.83
9,1292.62,2326.92
10,1468.13,2244.31
11,1609.24,2112.24
12,1702.12,1908.90
13,1739.26,1715.88
14,1743.77,1515.23
15,1744.50,1294.45
16,1559.41,1164.05
17,1427.88,1084.78
18,1292.45,1094.16
19,1174.21,1176.00
20,1304.49,1157.46
21,1424.65,1142.19
22,583.95,1204.18
23,677.45,1101.55
24,810.98,1106.19
25,928.67,1197.03
26,801.34,1173.57
27,684.01,1165.27
28,713.78,1334.69
29,808.77,1272.34
30,921.17,1337.79
31,807.52,1372.11
32,813.05,1320.41
33,1453.33,1304.46
34,1337.92,1251.87
35,1230.30,1318.76
36,1340.67,1350.30
37,1333.23,1297.21
38,1002.80,1326.52
39,967.18,1528.27
40,896.97,1646.93
41,928.91,1711.87
42,1055.78,1759.90
43,1176.54,1709.77
44,1229.15,1629.10
45,1150.10,1535.87
46,1126.24,1326.31
47,957.61,1704.05
48,1139.97,1697.99
49,832.81,1884.07
50,926.12,1871.00
51,1010.92,1870.06
52,1066.55,1875.99
53,1129.68,1869.24
54,1235.10,1862.00
55,1359.08,1868.46
56,1267.31,1923.45
57,1172.46,1943.99
58,1073.07,1952.01
59,987.98,1946.81
60,911.11,1927.41
61,960.24,1910.98
62,1074.56,1927.45
63,1206.58,1908.43
64,1206.46,1877.22
65,1070.46,1893.44
66,957.92,1886.50
67,1072.60,1909.13
68,1033.12,1656.61
69,761.38,1301.69
70,864.56,1304.84
71,864.43,1354.00
72,761.87,1353.79
73,1395.99,1276.81
74,1285.00,1285.00
75,1285.74,1337.37
76,1396.43,1328.50
