facialLandmark,x,y
1,79.00,208.00
2,69.30,258.70
3,68.50,304.50
4,69.00,325.00
5,83.00,356.30
6,102.30,385.00
7,127.00,411.00
8,160.00,424.00
9,191.00,424.00
10,217.00,410.00
11,241.30,392.00
12,264.00,370.00
13,273.00,351.50
14,291.30,309.00
15,304.00,260.00
16,291.00,237.00
17,273.00,217.00
18,248.00,214.00
19,223.00,224.00
20,247.00,229.00
21,270.00,231.00
22,110.00,198.00
23,137.00,185.00
24,165.00,194.00
25,186.00,214.00
26,160.00,207.00
27,135.00,200.00
28,126.00,221.00
29,148.00,215.00
30,166.00,230.00
31,144.00,233.00
32,145.00,222.00
33,270.00,253.00
34,253.00,240.00
35,231.00,245.00
36,249.00,257.00
37,251.00,247.00
38,180.00,235.00
39,180.00,269.00
40,162.00,282.00
41,164.00,303.00
42,188.00,314.00
43,212.00,314.00
44,220.00,296.00
45,212.00,276.00
46,212.00,240.00
47,174.00,299.00
48,207.00,307.00
49,137.00,339.00
50,157.00,337.00
51,173.00,337.00
52,183.00,342.00
53,193.00,342.00
54,205.00,349.00
55,215.00,358.00
56,204.00,365.00
57,191.00,367.00
58,176.00,365.00
59,159.00,359.00
60,147.00,351.00
61,160.00,345.00
62,178.00,353.00
63,196.00,354.00
64,197.00,353.00
65,180.00,349.00
66,161.00,344.00
67,179.00,351.00
68,195.00,294.00
69,137.00,216.00
70,157.00,220.00
71,155.00,233.00
72,135.00,228.00
73,262.00,244.00
74,242.00,240.00
75,240.00,252.00
76,259.00,257.00
