facialLandmark,x,y
1,72.00,250.00
2,77.30,297.70
3,88.00,339.00
4,94.00,357.00
5,114.70,381.70
6,138.30,402.00
7,165.00,418.00
8,198.00,421.00
9,227.00,415.00
10,250.30,397.00
11,270.30,374.70
12,287.00,348.00
13,291.00,328.50
14,297.00,285.00
15,296.00,237.00
16,271.00,219.00
17,251.00,202.00
18,227.00,202.00
19,206.00,216.00
20,229.00,216.00
21,250.00,216.00
22,97.00,231.00
23,115.00,210.00
24,140.00,207.00
25,164.00,218.00
26,140.00,221.00
27,118.00,224.00
28,119.00,248.00
29,136.00,238.00
30,155.00,245.00
31,137.00,253.00
32,136.00,245.00
33,254.00,240.00
34,236.00,232.00
35,218.00,242.00
36,237.00,247.00
37,237.00,239.00
38,174.00,244.00
39,174.00,277.00
40,161.00,295.00
41,168.00,312.00
42,193.00,315.00
43,217.00,309.00
44,221.00,292.00
45,206.00,275.00
46,206.00,243.00
47,176.00,306.00
48,209.00,304.00
49,157.00,354.00
50,172.00,344.00
51,185.00,339.00
52,195.00,341.00
53,204.00,338.00
54,218.00,342.00
55,231.00,350.00
56,222.00,360.00
57,211.00,366.00
58,196.00,368.00
59,180.00,367.00
60,167.00,363.00
61,177.00,353.00
62,195.00,355.00
63,212.00,351.00
64,212.00,349.00
65,195.00,349.00
66,178.00,351.00
67,195.00,352.00
68,192.00,295.00
69,127.00,241.00
70,145.00,240.00
71,146.00,251.00
72,128.00,252.00
73,245.00,235.00
74,227.00,235.00
75,228.00,246.00
76,246.00,245.00
