facialLandmark,x,y
1,99.00,74.00
2,100.70,90.00
3,104.00,104.00
4,106.00,110.00
5,112.00,117.30
6,118.70,123.70
7,126.00,129.00
8,136.00,130.00
9,147.00,128.00
10,154.30,121.30
11,160.00,114.00
12,164.00,106.00
13,165.50,101.00
14,168.30,88.70
15,169.00,73.00
16,164.00,71.00
17,156.00,66.00
18,147.00,67.00
19,139.00,72.00
20,148.00,71.00
21,156.00,71.00
22,104.00,70.00
23,111.00,65.00
24,120.00,66.00
25,128.00,71.00
26,119.00,70.00
27,111.00,70.00
28,111.00,73.00
29,117.00,70.00
30,124.00,74.00
31,117.00,76.00
32,117.00,73.00
33,156.00,74.00
34,150.00,71.00
35,143.00,75.00
36,150.00,77.00
37,150.00,73.00
38,129.00,74.30
39,129.00,87.00
40,124.00,94.00
41,126.00,97.00
42,134.00,100.00
43,142.00,97.00
44,145.00,94.00
45,139.00,87.00
46,139.00,74.70
47,128.00,97.00
48,140.00,97.00
49,120.00,107.00
50,126.00,106.00
51,131.00,105.00
52,135.00,106.00
53,138.00,105.00
54,143.00,106.00
55,150.00,107.00
56,146.00,111.00
57,141.00,113.00
58,135.00,114.00
59,129.00,114.00
60,124.00,112.00
61,128.00,109.00
62,135.00,110.00
63,141.00,109.00
64,141.00,108.00
65,135.00,108.00
66,128.00,108.00
67,135.00,109.00
68,134.00,95.00
69,114.00,71.00
70,120.00,71.00
71,121.00,75.00
72,114.00,75.00
73,153.00,72.00
74,147.00,72.00
75,147.00,76.00
76,153.00,76.00
