facialLandmark,x,y
1,82.00,134.00
2,83.00,164.30
3,88.00,192.00
4,91.00,205.00
5,103.70,225.70
6,119.70,242.00
7,139.00,254.00
8,162.00,257.00
9,186.00,253.00
10,203.30,239.70
11,217.00,223.30
12,227.00,204.00
13,229.50,192.00
14,234.00,165.30
15,235.00,136.00
16,221.00,127.00
17,207.00,115.00
18,191.00,115.00
19,175.00,123.00
20,191.00,123.00
21,206.00,124.00
22,102.00,122.00
23,116.00,112.00
24,132.00,113.00
25,147.00,121.00
26,131.00,121.00
27,116.00,121.00
28,111.00,133.00
29,124.00,127.00
30,138.00,134.00
31,124.00,137.00
32,124.00,131.00
33,209.00,136.00
34,197.00,128.00
35,183.00,135.00
36,196.00,139.00
37,197.00,133.00
38,149.00,134.30
39,149.00,154.00
40,136.00,170.00
41,141.00,177.00
42,160.00,183.00
43,178.00,178.00
44,184.00,170.00
45,171.00,153.00
46,171.00,134.70
47,147.00,175.00
48,173.00,175.00
49,124.00,203.00
50,139.00,198.00
51,153.00,197.00
52,161.00,198.00
53,168.00,197.00
54,182.00,198.00
55,196.00,202.00
56,187.00,213.00
57,175.00,218.00
58,161.00,220.00
59,147.00,219.00
60,134.00,214.00
61,144.00,211.00
62,161.00,213.00
63,177.00,210.00
64,177.00,201.00
65,161.00,202.00
66,144.00,201.00
67,161.00,207.50
68,160.00,168.00
69,118.00,129.00
70,131.00,129.00
71,131.00,136.00
72,118.00,136.00
73,203.00,131.00
74,190.00,130.00
75,190.00,138.00
76,203.00,138.00
