facialLandmark,x,y
1,67.00,197.00
2,72.00,241.70
3,81.50,278.50
4,87.00,294.00
5,105.70,315.30
6,128.30,333.00
7,155.00,347.00
8,186.00,350.00
9,210.00,341.00
10,223.30,323.70
11,235.00,304.00
12,245.00,282.00
13,248.00,266.00
14,253.70,230.00
15,253.00,185.00
16,241.00,168.00
17,224.00,164.00
18,209.00,171.00
19,195.00,183.00
20,212.00,178.00
21,227.00,172.00
22,103.00,180.00
23,125.00,172.00
24,146.00,174.00
25,165.00,185.00
26,145.00,182.00
27,124.00,180.00
28,116.00,194.00
29,133.00,184.00
30,151.00,194.00
31,133.00,201.00
32,131.00,192.00
33,233.00,185.00
34,216.00,178.00
35,200.00,190.00
36,218.00,194.00
37,215.00,185.00
38,172.00,192.70
39,172.00,229.00
40,160.00,248.00
41,169.00,256.00
42,188.00,262.00
43,202.00,254.00
44,208.00,245.00
45,198.00,227.00
46,198.00,191.30
47,175.00,253.00
48,201.00,252.00
49,145.00,284.00
50,163.00,278.00
51,179.00,276.00
52,187.00,276.00
53,195.00,275.00
54,207.00,275.00
55,217.00,280.00
56,211.00,294.00
57,200.00,302.00
58,187.00,305.00
59,170.00,303.00
60,156.00,297.00
61,169.00,294.00
62,187.00,296.00
63,202.00,292.00
64,201.00,279.00
65,186.00,281.00
66,168.00,280.00
67,186.50,288.50
68,191.00,247.00
69,124.00,188.00
70,142.00,187.00
71,142.00,198.00
72,125.00,199.00
73,224.00,180.00
74,208.00,182.00
75,209.00,193.00
76,225.00,191.00
