facialLandmark,x,y
1,31.00,206.00
2,29.70,247.00
3,34.00,283.50
4,37.00,300.00
5,51.00,327.30
6,70.00,350.30
7,94.00,369.00
8,125.00,375.00
9,157.00,370.00
10,181.00,352.70
11,200.30,331.30
12,215.00,306.00
13,218.50,290.00
14,224.70,254.00
15,226.00,211.00
16,215.00,200.00
17,196.00,186.00
18,173.00,187.00
19,151.00,200.00
20,174.00,198.00
21,195.00,197.00
22,46.00,195.00
23,67.00,183.00
24,90.00,185.00
25,111.00,198.00
26,88.00,196.00
27,67.00,194.00
28,64.00,207.00
29,82.00,197.00
30,101.00,210.00
31,81.00,215.00
32,82.00,205.00
33,195.00,210.00
34,177.00,199.00
35,157.00,211.00
36,177.00,217.00
37,176.00,207.00
38,115.00,210.30
39,115.00,244.00
40,98.00,264.00
41,106.00,272.00
42,128.00,281.00
43,150.00,274.00
44,159.00,266.00
45,143.00,244.00
46,143.00,210.70
47,112.00,271.00
48,145.00,271.00
49,83.00,300.00
50,101.00,292.00
51,118.00,291.00
52,128.00,292.00
53,137.00,291.00
54,154.00,293.00
55,171.00,302.00
56,160.00,317.00
57,145.00,324.00
58,127.00,326.00
59,109.00,324.00
60,93.00,316.00
61,107.00,311.00
62,127.00,314.00
63,147.00,312.00
64,147.00,299.00
65,127.00,300.00
66,107.00,298.00
67,127.00,307.00
68,129.00,264.00
69,73.00,199.00
70,92.00,201.00
71,91.00,213.00
72,72.00,212.00
73,186.00,202.00
74,167.00,203.00
75,167.00,215.00
76,186.00,215.00
