facialLandmark,x,y
1,634.63,561.22
2,641.26,636.82
3,654.85,701.77
4,674.05,761.76
5,708.71,821.62
6,757.76,857.72
7,819.22,882.57
8,883.51,889.19
9,938.44,875.26
10,974.29,843.75
11,1005.47,804.60
12,1026.48,754.62
13,1041.25,690.34
14,1051.72,624.07
15,1049.51,549.31
16,1029.39,497.87
17,994.49,480.16
18,960.71,486.33
19,926.07,511.68
20,964.01,505.18
21,996.42,497.89
22,698.25,512.67
23,741.04,492.87
24,784.65,494.50
25,826.51,514.92
26,782.98,512.91
27,741.56,509.74
28,734.51,562.81
29,774.08,540.64
30,816.61,562.32
31,776.49,578.90
32,777.13,556.71
33,1004.08,551.53
34,967.13,532.70
35,928.52,557.89
36,969.10,569.28
37,968.12,549.27
38,853.73,555.97
39,848.99,640.77
40,830.48,673.14
41,849.47,697.63
42,890.26,711.11
43,922.44,694.36
44,933.87,669.62
45,915.03,632.32
46,898.20,553.13
47,860.31,689.86
48,918.40,688.67
49,791.12,757.49
50,832.11,750.30
51,868.60,746.81
52,890.22,748.26
53,908.45,745.11
54,937.19,746.80
55,963.89,751.33
56,941.96,771.60
57,918.30,782.83
58,888.75,787.80
59,852.80,785.09
60,820.39,775.56
61,844.12,764.64
62,888.70,768.20
63,925.50,761.88
64,925.75,751.52
65,888.83,754.00
66,843.78,754.02
67,889.03,760.18
68,893.81,673.33
69,754.15,551.32
70,795.01,551.44
71,796.72,570.52
72,755.40,570.98
73,985.86,541.92
74,948.12,545.10
75,948.79,564.04
76,986.51,560.75
