facialLandmark,x,y
1,239.85,356.13
2,236.28,417.32
3,240.54,473.77
4,252.63,536.07
5,276.54,581.68
6,307.79,615.69
7,350.63,640.70
8,398.21,651.19
9,449.94,642.36
10,491.27,616.64
11,525.37,583.27
12,547.97,543.13
13,561.49,496.22
14,575.79,448.36
15,589.13,390.28
16,566.96,362.68
17,537.48,338.29
18,501.83,337.61
19,468.91,353.93
20,503.85,352.83
21,536.69,350.62
22,277.93,325.49
23,311.77,306.25
24,351.37,313.66
25,385.18,340.32
26,347.10,328.66
27,312.35,319.74
28,305.01,361.51
29,338.33,347.17
30,372.72,372.63
31,336.04,379.01
32,336.62,360.35
33,536.24,389.81
34,505.09,368.41
35,470.20,385.16
36,503.30,401.99
37,501.46,382.55
38,407.08,372.67
39,395.25,440.69
40,369.44,462.20
41,379.00,481.74
42,414.71,500.49
43,442.83,491.26
44,458.43,480.46
45,443.57,446.29
46,445.45,376.64
47,389.37,482.17
48,440.28,488.72
49,330.86,519.13
50,366.42,512.14
51,398.20,515.03
52,412.74,517.73
53,426.99,518.31
54,453.71,522.15
55,478.07,532.53
56,457.48,555.84
57,432.33,568.75
58,404.32,570.62
59,375.67,564.67
60,349.48,548.68
61,374.76,546.43
62,407.37,555.65
63,444.22,551.57
64,445.13,529.59
65,410.88,528.36
66,377.12,522.66
67,408.64,541.45
68,418.16,476.88
69,321.62,353.96
70,355.16,359.81
71,354.63,375.56
72,320.53,370.55
73,520.77,379.06
74,487.68,376.92
75,486.66,393.89
76,519.76,395.70
