facialLandmark,x,y
1,134.40,224.73
2,131.57,267.59
3,135.43,305.99
4,143.67,342.95
5,161.60,380.32
6,181.91,407.72
7,211.50,429.10
8,248.42,438.45
9,284.20,430.06
10,312.20,409.39
11,334.45,384.10
12,350.62,351.84
13,358.18,310.96
14,361.42,271.39
15,358.49,225.33
16,334.42,202.93
17,312.82,187.04
18,288.82,187.35
19,269.88,200.77
20,291.01,198.48
21,311.92,196.70
22,155.06,200.32
23,173.51,185.12
24,197.92,185.00
25,219.70,199.92
26,196.13,195.87
27,174.72,193.82
28,170.06,225.45
29,190.21,211.62
30,212.52,227.76
31,190.01,233.76
32,191.00,221.81
33,319.87,225.05
34,299.13,212.45
35,279.03,227.71
36,300.54,230.39
37,299.24,222.39
38,233.08,224.29
39,228.07,268.65
40,211.05,290.86
41,219.86,302.35
42,247.84,310.56
43,272.54,302.56
44,282.07,294.24
45,264.00,267.07
46,259.43,223.79
47,228.12,299.61
48,265.48,299.26
49,199.55,342.46
50,217.39,330.05
51,236.39,327.58
52,247.83,328.77
53,258.82,327.22
54,278.37,329.20
55,295.46,338.55
56,284.43,359.76
57,267.59,372.24
58,247.75,376.52
59,227.08,374.16
60,209.43,363.42
61,224.40,355.95
62,247.99,360.23
63,272.62,354.83
64,272.11,336.49
65,247.95,338.74
66,224.65,337.73
67,247.75,348.63
68,246.84,289.96
69,180.05,218.34
70,201.18,219.97
71,201.16,230.71
72,180.04,229.70
73,309.61,218.61
74,289.17,219.94
75,289.81,229.18
76,310.32,227.91
