facialLandmark,x,y
1,82.66,152.95
2,85.81,177.99
3,88.88,198.57
4,94.26,220.92
5,107.25,241.47
6,123.52,254.86
7,142.71,267.35
8,165.87,272.33
9,187.57,265.35
10,202.97,252.04
11,216.08,236.85
12,226.12,215.28
13,229.43,190.56
14,231.05,167.54
15,230.86,141.04
16,213.99,125.14
17,199.05,118.60
18,182.44,121.40
19,169.70,132.01
20,184.33,127.99
21,199.24,125.58
22,96.98,136.02
23,110.76,128.18
24,125.06,127.86
25,140.56,135.10
26,124.91,134.46
27,111.24,134.19
28,107.69,152.42
29,119.90,145.65
30,134.77,151.65
31,121.00,156.89
32,121.78,150.52
33,204.43,143.33
34,190.63,139.03
35,177.67,147.42
36,192.11,150.48
37,192.34,144.35
38,149.29,151.90
39,148.40,177.28
40,137.78,189.62
41,143.62,197.65
42,162.05,203.46
43,177.77,194.42
44,182.89,189.03
45,169.35,174.01
46,163.78,150.23
47,148.44,198.31
48,173.88,195.92
49,129.13,217.07
50,143.13,211.67
51,155.71,210.74
52,162.75,210.70
53,169.05,209.52
54,180.09,209.13
55,191.42,212.22
56,183.96,221.63
57,174.91,227.17
58,163.35,229.87
59,150.11,229.62
60,138.19,225.82
61,148.95,222.38
62,163.31,223.30
63,176.81,219.63
64,176.46,214.08
65,163.04,216.41
66,148.70,216.54
67,163.17,219.24
68,161.43,194.29
69,113.61,149.00
70,127.24,148.66
71,127.90,154.18
72,114.28,154.63
73,197.63,141.24
74,184.17,143.10
75,184.83,148.97
76,198.14,146.96
