facialLandmark,x,y
1,98.00,91.00
2,100.30,113.00
3,105.50,130.50
4,108.00,138.00
5,116.00,148.70
6,125.70,158.70
7,137.00,168.00
8,152.00,171.00
9,166.00,167.00
10,175.30,158.30
11,184.00,148.30
12,192.00,137.00
13,194.50,129.50
14,198.30,110.70
15,199.00,86.00
16,192.00,75.00
17,181.00,70.00
18,170.00,73.00
19,160.00,80.00
20,171.00,78.00
21,181.00,75.00
22,106.00,81.00
23,117.00,74.00
24,128.00,75.00
25,139.00,82.00
26,127.00,81.00
27,117.00,79.00
28,116.00,92.00
29,125.00,87.00
30,135.00,92.00
31,126.00,95.00
32,125.00,91.00
33,181.00,88.00
34,172.00,84.00
35,162.00,90.00
36,172.00,92.00
37,171.00,88.00
38,143.00,91.30
39,143.00,110.00
40,137.00,117.00
41,140.00,122.00
42,151.00,127.00
43,162.00,121.00
44,165.00,116.00
45,158.00,109.00
46,158.00,90.70
47,143.00,123.00
48,159.00,122.00
49,128.00,134.00
50,138.00,133.00
51,147.00,132.00
52,151.00,133.00
53,156.00,132.00
54,164.00,131.00
55,174.00,132.00
56,169.00,140.00
57,161.00,145.00
58,152.00,148.00
59,142.00,146.00
60,134.00,142.00
61,141.00,141.00
62,152.00,142.00
63,162.00,140.00
64,161.00,134.00
65,151.00,136.00
66,141.00,135.00
67,151.50,139.00
68,152.00,120.00
69,121.00,88.00
70,130.00,88.00
71,130.00,94.00
72,121.00,94.00
73,177.00,85.00
74,167.00,86.00
75,167.00,92.00
76,177.00,91.00
