facialLandmark,x,y
1,204.00,79.00
2,202.00,116.30
3,207.50,151.00
4,211.00,167.00
5,222.30,183.70
6,237.00,198.70
7,255.00,212.00
8,279.00,218.00
9,304.00,213.00
10,326.00,199.70
11,344.00,184.70
12,358.00,168.00
13,361.50,153.50
14,367.00,119.00
15,366.00,78.00
16,343.00,66.00
17,328.00,56.00
18,311.00,58.00
19,296.00,68.00
20,312.00,66.00
21,328.00,65.00
22,222.00,62.00
23,237.00,55.00
24,252.00,58.00
25,265.00,68.00
26,250.00,66.00
27,237.00,64.00
28,231.00,80.00
29,245.00,74.00
30,259.00,83.00
31,244.00,88.00
32,245.00,80.00
33,329.00,81.00
34,314.00,74.00
35,301.00,83.00
36,315.00,88.00
37,314.00,80.00
38,266.00,83.00
39,266.00,116.00
40,256.00,130.00
41,261.00,141.00
42,277.00,146.00
43,296.00,141.00
44,302.00,130.00
45,290.00,116.00
46,290.00,83.00
47,265.00,139.00
48,290.00,138.00
49,252.00,168.00
50,261.00,161.00
51,270.00,159.00
52,277.00,161.00
53,285.00,159.00
54,296.00,161.00
55,307.00,168.00
56,301.00,178.00
57,291.00,184.00
58,278.00,186.00
59,266.00,184.00
60,257.00,178.00
61,265.00,172.00
62,278.00,174.00
63,291.00,172.00
64,291.00,167.00
65,278.00,167.00
66,265.00,167.00
67,278.00,170.50
68,276.00,132.00
69,238.00,76.00
70,252.00,76.00
71,252.00,86.00
72,238.00,85.00
73,322.00,76.00
74,308.00,77.00
75,308.00,86.00
76,322.00,86.00
