facialLandmark,x,y
1,215.00,125.00
2,215.00,154.70
3,220.00,182.00
4,223.00,194.00
5,234.30,212.00
6,249.70,227.70
7,269.00,241.00
8,292.00,246.00
9,314.00,242.00
10,331.30,230.70
11,345.70,216.70
12,357.00,200.00
13,360.50,187.00
14,366.00,158.00
15,366.00,128.00
16,357.00,119.00
17,341.00,109.00
18,324.00,111.00
19,307.00,121.00
20,325.00,120.00
21,341.00,118.00
22,226.00,119.00
23,242.00,108.00
24,260.00,111.00
25,278.00,121.00
26,259.00,119.00
27,242.00,117.00
28,243.00,127.00
29,257.00,120.00
30,271.00,128.00
31,257.00,132.00
32,257.00,125.00
33,340.00,128.00
34,327.00,121.00
35,313.00,129.00
36,327.00,133.00
37,327.00,126.00
38,283.00,128.30
39,283.00,150.00
40,271.00,162.00
41,276.00,172.00
42,294.00,177.00
43,310.00,173.00
44,315.00,162.00
45,303.00,150.00
46,303.00,128.70
47,282.00,170.00
48,305.00,170.00
49,262.00,195.00
50,275.00,190.00
51,287.00,188.00
52,294.00,190.00
53,301.00,188.00
54,312.00,190.00
55,324.00,195.00
56,316.00,206.00
57,306.00,212.00
58,294.00,213.00
59,280.00,212.00
60,270.00,206.00
61,279.00,201.00
62,294.00,204.00
63,308.00,201.00
64,308.00,195.00
65,294.00,195.00
66,279.00,195.00
67,294.00,199.50
68,294.00,164.00
69,250.00,122.00
70,264.00,123.00
71,264.00,131.00
72,250.00,130.00
73,334.00,123.00
74,320.00,123.00
75,320.00,131.00
76,334.00,131.00
