facialLandmark,x,y
1,135.00,170.00
2,129.70,208.30
3,129.50,242.00
4,130.00,257.00
5,140.70,287.70
6,158.30,312.30
7,183.00,331.00
8,215.00,339.00
9,247.00,339.00
10,275.70,326.30
11,298.70,306.30
12,316.00,279.00
13,320.00,261.50
14,326.00,225.30
15,327.00,189.00
16,309.00,170.00
17,291.00,157.00
18,270.00,156.00
19,249.00,166.00
20,270.00,167.00
21,290.00,167.00
22,149.00,159.00
23,166.00,147.00
24,188.00,149.00
25,208.00,162.00
26,186.00,160.00
27,166.00,157.00
28,168.00,174.00
29,185.00,166.00
30,202.00,177.00
31,184.00,181.00
32,187.00,173.00
33,291.00,185.00
34,276.00,174.00
35,257.00,182.00
36,274.00,190.00
37,276.00,181.00
38,212.00,178.70
39,212.00,202.00
40,197.00,222.00
41,204.00,234.00
42,223.00,238.00
43,243.00,238.00
44,252.00,227.00
45,239.00,203.00
46,239.00,180.30
47,210.00,227.00
48,237.00,229.00
49,190.00,270.00
50,202.00,259.00
51,214.00,256.00
52,222.00,257.00
53,230.00,257.00
54,242.00,263.00
55,254.00,276.00
56,244.00,281.00
57,233.00,282.00
58,220.00,281.00
59,208.00,279.00
60,198.00,276.00
61,207.00,268.00
62,221.00,271.00
63,236.00,271.00
64,237.00,268.00
65,222.00,266.00
66,207.00,266.00
67,221.50,268.50
68,224.00,217.00
69,177.00,168.00
70,194.00,170.00
71,193.00,181.00
72,176.00,179.00
73,283.00,178.00
74,267.00,176.00
75,265.00,187.00
76,282.00,189.00
