facialLandmark,x,y
1,24.00,128.00
2,24.70,157.30
3,28.50,185.50
4,31.00,199.00
5,36.30,212.30
6,43.00,224.70
7,51.00,236.00
8,66.00,240.00
9,88.00,237.00
10,104.70,225.70
11,118.30,211.70
12,129.00,195.00
13,130.50,184.00
14,134.00,159.00
15,137.00,129.00
16,123.00,120.00
17,113.00,110.00
18,100.00,107.00
19,85.00,113.00
20,100.00,115.00
21,112.00,117.00
22,25.00,113.00
23,34.00,105.00
24,44.00,105.00
25,55.00,112.00
26,44.00,113.00
27,35.00,113.00
28,34.00,127.00
29,43.00,122.00
30,53.00,129.00
31,43.00,131.00
32,43.00,127.00
33,109.00,131.00
34,100.00,125.00
35,89.00,131.00
36,100.00,134.00
37,99.00,129.00
38,57.00,129.70
39,57.00,148.00
40,47.00,165.00
41,52.00,172.00
42,64.00,175.00
43,81.00,173.00
44,88.00,166.00
45,76.00,150.00
46,76.00,130.30
47,55.00,169.00
48,75.00,169.00
49,44.00,196.00
50,51.00,192.00
51,59.00,191.00
52,64.00,192.00
53,71.00,191.00
54,80.00,193.00
55,92.00,199.00
56,84.00,204.00
57,75.00,207.00
58,65.00,207.00
59,57.00,206.00
60,50.00,203.00
61,55.00,198.00
62,65.00,200.00
63,77.00,199.00
64,77.00,198.00
65,65.00,197.00
66,55.00,197.00
67,65.00,198.50
68,63.00,162.00
69,38.00,124.00
70,48.00,124.00
71,48.00,130.00
72,38.00,130.00
73,105.00,126.00
74,94.00,127.00
75,94.00,133.00
76,105.00,133.00
