facialLandmark,x,y
1,8.00,123.00
2,14.00,154.30
3,23.00,179.50
4,28.00,190.00
5,36.70,201.30
6,46.30,212.70
7,57.00,224.00
8,73.00,227.00
9,91.00,222.00
10,106.30,208.70
11,119.30,194.30
12,130.00,179.00
13,131.50,166.50
14,133.00,138.00
15,129.00,107.00
16,106.00,104.00
17,94.00,97.00
18,81.00,99.00
19,69.00,106.00
20,82.00,106.00
21,94.00,105.00
22,13.00,115.00
23,21.00,107.00
24,31.00,106.00
25,42.00,110.00
26,31.00,113.00
27,22.00,114.00
28,24.00,123.00
29,32.00,118.00
30,41.00,121.00
31,32.00,124.00
32,33.00,121.00
33,96.00,113.00
34,86.00,110.00
35,77.00,116.00
36,88.00,117.00
37,89.00,113.00
38,49.00,119.30
39,49.00,143.00
40,43.00,153.00
41,46.00,164.00
42,60.00,166.00
43,76.00,159.00
44,78.00,149.00
45,67.00,141.00
46,67.00,117.70
47,49.00,162.00
48,70.00,159.00
49,44.00,187.00
50,50.00,182.00
51,57.00,180.00
52,63.00,181.00
53,69.00,178.00
54,79.00,178.00
55,92.00,180.00
56,88.00,191.00
57,79.00,199.00
58,68.00,203.00
59,58.00,203.00
60,49.00,197.00
61,55.00,193.00
62,67.00,194.00
63,78.00,190.00
64,77.00,182.00
65,65.00,184.00
66,54.00,185.00
67,66.00,189.00
68,57.00,157.00
69,27.00,119.00
70,36.00,118.00
71,37.00,123.00
72,28.00,124.00
73,91.00,111.00
74,82.00,112.00
75,82.00,117.00
76,92.00,116.00
