facialLandmark,x,y
1,1040.36,998.21
2,1054.10,1088.66
3,1079.59,1168.24
4,1113.01,1241.28
5,1150.73,1312.42
6,1201.77,1377.15
7,1279.19,1414.87
8,1370.14,1417.93
9,1450.86,1395.52
10,1511.54,1344.96
11,1559.33,1287.81
12,1595.80,1198.20
13,1605.97,1094.38
14,1607.01,997.50
15,1591.13,895.52
16,1528.97,860.28
17,1470.47,830.50
18,1408.54,847.09
19,1353.34,892.41
20,1417.48,880.37
21,1472.92,865.94
22,1065.18,960.08
23,1110.43,911.39
24,1166.00,906.61
25,1234.95,927.42
26,1170.64,940.08
27,1117.38,947.37
28,1126.25,986.43
29,1165.81,953.04
30,1220.40,967.88
31,1175.03,992.06
32,1175.11,968.86
33,1480.42,911.89
34,1429.33,896.72
35,1382.65,931.43
36,1436.31,942.99
37,1435.66,913.53
38,1264.99,954.58
39,1269.05,1052.24
40,1244.57,1103.60
41,1273.74,1138.01
42,1324.94,1137.20
43,1377.24,1115.84
44,1399.19,1084.03
45,1350.52,1033.86
46,1326.68,943.49
47,1280.66,1122.20
48,1362.12,1106.72
49,1238.20,1239.12
50,1267.83,1188.91
51,1307.85,1164.62
52,1329.94,1164.06
53,1350.09,1156.64
54,1399.23,1161.96
55,1450.89,1197.21
56,1433.33,1243.54
57,1395.67,1272.69
58,1350.44,1285.52
59,1305.19,1289.62
60,1263.18,1275.68
61,1294.62,1252.50
62,1344.56,1249.86
63,1391.03,1233.35
64,1382.83,1184.71
65,1335.17,1194.72
66,1287.69,1205.24
67,1340.34,1221.17
68,1316.39,1091.94
69,1145.70,969.49
70,1193.13,960.72
71,1197.93,980.48
72,1150.57,989.12
73,1455.68,903.94
74,1405.92,913.81
75,1409.61,937.28
76,1458.61,927.77
